Date,VIXY_ret,VIXY_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-08-20,0.042863664271437,0.1257095263813989,1,1.8109959288647118e-88,1.0,1.0,0.5,
2024-08-21,0.0104349502713833,0.1221450294294421,1,1.7436587252942084e-13,0.9999999999997726,0.9999999999997726,0.5000000000001137,
2024-08-22,0.0440002866476918,0.1225747965692143,1,5.3670204325400934e-14,1.0,1.0,0.5,
2024-08-23,-0.0623334086538662,0.1226702396784869,1,1.39007902246091e-13,0.9999999999998863,0.9999999999998863,0.5000000000000568,
2024-08-26,0.0017605201602016,0.1226233131676195,1,1.6290791361549437e-13,0.9999999999998863,0.9999999999998863,1.0,0.0073452025393695
2024-08-27,-0.0231327249478802,0.1225069996411511,1,2.126867967655025e-13,0.9999999999997726,0.9999999999997726,0.5000000000001137,-0.005854075304493939
2024-08-28,0.0560076678407678,0.1230450221862233,1,2.6216092264095404e-14,1.0,1.0,1.0,0.0032604682093829605
2024-08-29,-0.0363991722840523,0.1216407228722488,1,3.102580227240054e-13,0.9999999999996589,0.9999999999996589,0.5000000000001705,-0.01281942357696586
2024-08-30,-0.0295587955077451,0.1101508764499368,1,5.3873109185259437e-11,0.9999999999461124,0.9999999999461124,0.5000000000269438,-0.006264500947741641
2024-09-03,0.1845916707280645,0.0823983204387458,1,7.51543121749156e-09,0.9999999924846179,0.9999999924846179,1.0,0.03030172916583094
2024-09-04,0.020943225387333,0.0674621272980133,1,0.13942687065302745,0.8605731293469411,0.8605731293469411,1.0,0.03911691923287359
2024-09-05,-0.0438799525278535,0.0677074382253639,1,0.274571228917395,0.725428771082583,0.725428771082583,1.0,0.019139395159149326
2024-09-06,0.0687350437903732,0.0680100308268188,1,0.344669296394438,0.655330703605616,0.655330703605616,1.0,0.04016623837403442
2024-09-09,-0.0641054471136285,0.0616562419959755,0,0.9327497517291712,0.06725024827085507,0.06725024827085507,1.0,0.033256908052857734
2024-09-10,-0.0194331808842493,0.0617753800731852,0,0.9944680336534255,0.005531966346559534,0.005531966346559534,0.9972340168267202,-0.007548062269605023
2024-09-11,-0.0441307231082573,0.0598156144069927,0,0.9997308272177403,0.00026917278222513826,0.00026917278222513826,0.9998654136088874,-0.020562851968723084
2024-09-12,-0.0065843798555033,0.0576426960634971,0,0.9999863062829172,1.3693717133250706e-05,1.3693717133250706e-05,0.9999931531414334,-0.013103737434253044
2024-09-13,-0.0041373031215226,0.0569154655004338,0,0.9999946915964908,5.30840353017775e-06,5.30840353017775e-06,0.999997345798235,-0.0276782068166322
2024-09-16,0.0066115878185179,0.0569089606514016,0,0.9999937160191249,6.283980893739771e-06,6.283980893739771e-06,0.9999968580095531,-0.013534799830202924
2024-09-17,0.0252147936790026,0.0567386731544498,0,0.9999904803367566,9.519663297602358e-06,9.519663297602358e-06,0.9999952401683512,-0.004605204917552542
2024-09-18,-0.0121213297053759,0.0562071420499905,0,0.9999961981481613,3.801851837102163e-06,3.801851837102163e-06,1.0,0.0017966737630237387
2024-09-19,-0.0381156355419208,0.0569411422131262,0,0.9999958893854812,4.110614533397722e-06,4.110614533397722e-06,0.9999979446927333,-0.004509577374259761
2024-09-20,-0.0067796804101284,0.0560573572953996,0,0.9999962334334663,3.766566589542295e-06,3.766566589542295e-06,0.9999981167167052,-0.005038052831980921
2024-09-23,0.0033955857023685,0.0541890667114043,0,0.9999973480689653,2.651931038943005e-06,2.651931038943005e-06,0.9999986740344805,-0.005681253255210802
2024-09-24,0.0008471181043064,0.0541896144650597,0,0.9999974814199842,2.5185799904813624e-06,2.5185799904813624e-06,0.9999987407100048,-0.010554788370150042
2024-09-25,0.0109474070807813,0.0538961112210614,0,0.9999971512064227,2.84879362961488e-06,2.84879362961488e-06,0.9999985756031852,-0.0059410410129186
2024-09-26,0.0008371895957649,0.0524656144320171,0,0.9999983959834612,1.6040165031530043e-06,1.6040165031530043e-06,1.0,0.0018495240146185394
2024-09-27,0.0457970803582865,0.0526138384193821,0,0.9999936592007347,6.340799227221993e-06,6.340799227221993e-06,1.0,0.012364876168301519
2024-09-30,-0.0210024057839937,0.052352575027099,0,0.9999988228493174,1.1771507312557955e-06,1.1771507312557955e-06,1.0,0.007485277871029078
2024-10-01,0.0754481844312325,0.0357421300291349,0,0.9999995342916411,4.657083027958595e-07,4.657083027958595e-07,1.0,0.022405491136414296
2024-10-02,-0.0160247639604316,0.0355533309423063,0,0.9999999813662728,1.8633685963101034e-08,1.8633685963101034e-08,1.0,0.017011056928171713
2024-10-03,0.042912093896237,0.0354594541775002,0,0.9999999165378347,8.346215145233198e-08,8.346215145233198e-08,1.0,0.02542603778826614
2024-10-04,-0.0360128597791363,0.0327831380265358,0,0.9999999907341817,9.26581617186182e-09,9.26581617186182e-09,1.0,0.009064049760781576
2024-10-07,0.0835037883542072,0.0348130011928183,0,0.9999993783595413,6.216405082993283e-07,6.216405082993283e-07,1.0,0.029965288588421755
