Date,AAPL_ret,AAPL_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-08-20,0.0027408763210698,0.0164668703202174,0,1.0,1.3253909958392268e-40,1.3253909958392268e-40,1.0,
2024-08-21,-0.0004857060362469,0.0149340248670203,0,0.9999999999967031,3.3004703660052616e-12,3.3004703660052616e-12,0.9999999999983498,
2024-08-22,-0.0082939861559529,0.0150353217385121,0,0.9999999999903366,9.618671250821496e-12,9.618671250821496e-12,0.9999999999951907,
2024-08-23,0.0102355317316088,0.0151576576813827,0,0.9999999999982947,1.7061150934213193e-12,1.7061150934213193e-12,0.9999999999991469,
2024-08-26,0.0014976953187064,0.0151571607117227,0,0.9999999999965894,3.4370702372947697e-12,3.4370702372947697e-12,1.0,0.0011388822358370403
2024-08-27,0.0037345550084876,0.0151614494690946,0,0.9999999999971578,2.80069380942697e-12,2.80069380942697e-12,1.0,0.0013376179733206003
2024-08-28,-0.0067763640325346,0.0149746703318063,0,0.999999999992724,7.331529977293425e-12,7.331529977293425e-12,1.0,7.948637406306036e-05
2024-08-29,0.0144650237835085,0.0146359292193412,0,0.9999999999992042,7.596977813997259e-13,7.596977813997259e-13,1.0,0.004631288361955341
2024-08-30,-0.0034437985469993,0.0146599822961005,0,0.9999999999965894,3.4316401887506638e-12,3.4316401887506638e-12,1.0,0.0018954223062337204
2024-09-03,-0.0275820641137508,0.0109837712445353,0,0.9999999999940883,5.8754569031446405e-12,5.8754569031446405e-12,0.9999999999970623,-0.00392052958025772
2024-09-04,-0.0086561155036493,0.0109156155750875,0,0.9999999999998863,1.5738773860572483e-13,1.5738773860572483e-13,0.9999999999999213,-0.006398663682685099
2024-09-05,0.0069038968785246,0.0107397089287627,0,1.0,2.155565967997093e-14,2.155565967997093e-14,0.9999999999999892,-0.003662611500473259
2024-09-06,-0.0070397395516561,0.0104648987482629,0,0.9999999999998863,8.133126211481877e-14,8.133126211481877e-14,0.9999999999999594,-0.007963564167506178
2024-09-09,0.000407403211073,0.0100874779135168,0,1.0,2.1988512729924488e-14,2.1988512729924488e-14,0.999999999999989,-0.0071933238158917185
2024-09-10,-0.0036279304888912,0.0100380516458593,0,1.0,3.428443402047756e-14,3.428443402047756e-14,0.9999999999999829,-0.0024024970909197994
2024-09-11,0.0115184853070321,0.0096287829695381,0,1.0,5.210552457325274e-15,5.210552457325274e-15,1.0,0.0016324230712164804
2024-09-12,0.0004940001475669,0.0096204735138361,0,1.0,1.4089592567992425e-14,1.4089592567992425e-14,1.0,0.0003504437250249405
2024-09-13,-0.0012128375330378,0.0091062299810034,0,1.0,1.0760368594488235e-14,1.0760368594488235e-14,1.0,0.0015158241287486006
2024-09-16,-0.0281682484266392,0.0108635362751946,0,0.9999999999939746,6.022411840058027e-12,6.022411840058027e-12,0.9999999999969889,-0.00419930619879384
2024-09-17,0.0021702411378268,0.0109033319601754,0,1.0,3.953028430149742e-14,3.953028430149742e-14,0.9999999999999802,-0.0030396718734502395
2024-09-18,0.0178299290235741,0.0117424670099079,0,1.0,3.0040906345914956e-14,3.0040906345914956e-14,0.9999999999999849,-0.00177738313014184
2024-09-19,0.0363951331338903,0.0144589910462069,0,0.9999999999994316,6.136241461158697e-13,6.136241461158697e-13,1.0,0.00540284346712284
2024-09-20,-0.0029316934496131,0.0143357014923493,0,0.9999999999977263,2.2828099007725103e-12,2.2828099007725103e-12,1.0,0.00505907228380778
2024-09-23,-0.0076099669677073,0.0142734385180066,0,0.9999999999961346,3.889236980187879e-12,3.889236980187879e-12,1.0,0.00917072857559416
2024-09-24,0.0039661398244541,0.0142984639516488,0,0.9999999999989768,1.0702314004969548e-12,1.0702314004969548e-12,1.0,0.00952990831291962
2024-09-25,-0.0044078699199142,0.0143037050124525,0,0.9999999999973852,2.63931571161188e-12,2.63931571161188e-12,1.0,0.00508234852422196
2024-09-26,0.0050674789893587,0.0142694438438721,0,0.9999999999990905,9.418862153481345e-13,9.418862153481345e-13,0.999999999999529,-0.0011831823046843594
2024-09-27,0.001185891149975,0.0138755778329506,0,0.9999999999990905,8.896678576120257e-13,8.896678576120257e-13,0.9999999999995552,-0.0003596653847667393
2024-09-30,0.0226143879089138,0.0147728058789969,0,0.9999999999993179,7.004242750415301e-13,7.004242750415301e-13,1.0,0.005685205590557481
2024-10-01,-0.0295747423787243,0.0149800345905462,0,0.9999999995541202,4.458552132320244e-10,4.458552132320244e-10,0.9999999997770723,-0.001022970850078199
2024-10-02,0.0025165818923114,0.0148176101050624,0,0.99999999999784,2.1478862583780285e-12,2.1478862583780285e-12,1.0,0.00036191951236692096
2024-10-03,-0.0049066398720054,0.0148189077921738,0,0.9999999999951115,4.87013946132854e-12,4.87013946132854e-12,0.999999999997565,-0.0016329042599058992
2024-10-04,0.0049948688180582,0.0147306978019264,0,0.9999999999984084,1.5639553015060235e-12,1.5639553015060235e-12,0.999999999999218,-0.0008711087262892589
2024-10-07,-0.022788646717826,0.0156896052850389,0,0.9999999997778559,2.2212087354179494e-10,2.2212087354179494e-10,0.9999999998889395,-0.00995171565163722
2024-10-08,0.018236877869159,0.0161651387774914,0,0.9999999999962483,3.768785926932694e-12,3.768785926932694e-12,0.9999999999981156,-0.00038939160206055907
2024-10-09,0.0165604565943299,0.0163713861740128,0,0.9999999999949978,5.043436487705858e-12,5.043436487705858e-12,1.0,0.0024193833383431406
2024-10-10,-0.0021806042682984,0.0163911335519934,0,0.9999999999799911,1.9983257257443595e-11,1.9983257257443595e-11,1.0,0.002964590459084541
