Date,QQQ_ret,QQQ_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2018-01-18,0.0001813362527944,0.0062896425035594,0,0.9999900026504718,9.997349786779668e-06,9.997349786779668e-06,1.0,0.004439229126182059
2018-01-19,0.0031306665873065,0.0059904771200698,0,0.9999893961265263,1.0603873167169421e-05,1.0603873167169421e-05,1.0,0.003701216930698959
2018-01-22,0.0106441169465458,0.0061753589387774,0,0.9999844227917486,1.557720834766308e-05,1.557720834766308e-05,1.0,0.004365669326230259
2018-01-23,0.0082337405640826,0.0062252144809899,0,0.999987104308661,1.289569106726825e-05,1.289569106726825e-05,1.0,0.006584700641223559
2018-01-24,-0.0065102403560063,0.0065502892020348,0,0.999986424269374,1.35757310129236e-05,1.35757310129236e-05,1.0,0.0031359239989445994
2018-01-25,-0.0003562668750599,0.006284621184255,0,0.9999892383345191,1.0761665508799801e-05,1.0761665508799801e-05,1.0,0.0030284033733737393
2018-01-26,0.0152091094424855,0.0067296568438452,0,0.9999743129535532,2.5687046259636092e-05,2.5687046259636092e-05,1.0,0.005444091944409539
2018-01-29,-0.0048678704113528,0.0070125055570413,0,0.9999818632630555,1.813673672572271e-05,1.813673672572271e-05,1.0,0.0023416944728298188
2018-01-30,-0.0082644372909271,0.0071844455956003,0,0.9998822065623449,0.00011779343776084293,0.00011779343776084293,0.9999411032811196,-0.0009579410981721204
2018-01-31,0.0041408036933083,0.006459670014032,0,0.998550375974394,0.001449624025738195,0.001449624025738195,1.0,0.0011722677116907997
2018-02-01,-0.0085370613240396,0.0067932901920452,0,0.969516666015275,0.0304833339849893,0.0304833339849893,0.9847583330075054,-0.0004638911781051403
2018-02-02,-0.0201467124409803,0.0084653636393712,0,0.5875334332777187,0.4124665667226923,0.4124665667226923,0.7937667166386538,-0.007535055554798301
2018-02-05,-0.040224791105633,0.0123258256258591,1,0.00011032020329487728,0.9998896797963619,0.9998896797963619,0.500055160101819,-0.014606439693654338
2018-02-06,0.026153715273346,0.0137335933437212,1,1.4169388107497393e-05,0.999985830612219,0.999985830612219,0.5000070846938904,-0.0077228091807997196
2018-02-07,-0.0130223680424097,0.014035116610901,1,3.9300123676725206e-05,0.999960699876392,0.999960699876392,0.5000196500618039,-0.01115544352794332
2018-02-08,-0.0431108876110071,0.0169415345266173,1,4.1952610997347506e-11,0.9999999999581632,0.9999999999581632,0.5000000000209184,-0.01807020878533682
2018-02-09,0.0171221301243772,0.0173987830625462,1,4.6293481319038936e-07,0.999999537065485,0.999999537065485,0.5000002314672576,-0.010616440272265321
2018-02-12,0.0175892614827319,0.0178419553711816,1,2.1013408281559236e-07,0.9999997898658187,0.9999997898658187,1.0,0.00094637024540766
2018-02-13,0.0051484458884856,0.0179052007484637,1,6.363616777996209e-07,0.9999993636385831,0.9999993636385831,0.5000003181807084,-0.00325468363156442
2018-02-14,0.0185500812274514,0.0182642582954742,1,8.717070405225645e-08,0.9999999128294841,0.9999999128294841,1.0,0.0030598062224078
2018-02-15,0.0183943802944498,0.0187705039360077,1,3.662891911584816e-08,0.999999963371011,0.999999963371011,1.0,0.01536085980349918
2018-02-16,-0.0044759325631116,0.0187800195701232,1,1.0952265060236425e-07,0.9999998904777445,0.9999998904777445,1.0,0.01104124726600142
2018-02-20,0.001998434945787,0.0186107639506258,1,1.945725844115902e-07,0.9999998054272699,0.9999998054272699,1.0,0.00792308195861244
2018-02-21,-0.0028471564442872,0.0184906964057066,1,2.0609996678025526e-07,0.9999997939003363,0.9999997939003363,1.0,0.006323961492057881
2018-02-22,-0.0001215556273118,0.018452965762937,1,2.4813272405832565e-07,0.9999997518671387,0.9999997518671387,1.0,0.00258963412110524
2018-02-23,0.0202427520657503,0.0190605522909725,1,1.5351342781279308e-08,0.999999984648639,0.999999984648639,1.0,0.00295930847536534
2018-02-26,0.0131729498760096,0.0189800073771426,1,5.346272290913855e-08,0.9999999465371744,0.9999999465371744,1.0,0.00648908496318958
2018-02-27,-0.0124598763782491,0.01915433908669,1,2.0765623962210205e-08,0.9999999792344172,0.9999999792344172,1.0,0.0035974226983823605
2018-02-28,-0.0064378678113578,0.0191198682050641,1,4.909086166879448e-08,0.9999999509091152,0.9999999509091152,1.0,0.0028792804249682395
2018-03-01,-0.0164618296544838,0.0194126422160692,1,5.988648248570247e-09,0.9999999940109774,0.9999999940109774,0.5000000029945113,-0.00038877438046616036
2018-03-02,0.0091387308137436,0.0194764008526536,1,3.0792273864208545e-08,0.9999999692081478,0.9999999692081478,0.5000000153959261,-0.002609578630867501
2018-03-05,0.0110235550502427,0.0190720214728115,1,1.788150417790623e-07,0.9999998211851722,0.9999998211851722,0.5000000894074139,-0.00303945759602088
2018-03-06,0.0042215649175198,0.0164252848670416,1,0.00041361956810455005,0.9995863804322633,0.9995863804322633,1.0,0.0002968306631329
2018-03-07,0.0023114836511806,0.0155107277344039,1,0.01233889803563434,0.9876611019642146,0.9876611019642146,1.0,0.00204670095564058
2018-03-08,0.0054903440182473,0.0151144574196009,1,0.11028059155085873,0.8897194084489692,0.8897194084489692,1.0,0.0064371356901868
2018-03-09,0.0192411466380578,0.0109858355181799,0,0.6268790491478544,0.37312095085254593,0.37312095085254593,1.0,0.00845761885504964
2018-03-12,0.0052990438245888,0.0106718461950744,0,0.9430633800872238,0.0569366199125082,0.0569366199125082,1.0,0.007312716609918862
2018-03-13,-0.0137079168658617,0.0110848933749989,0,0.976540090928674,0.023459909071623417,0.023459909071623417,1.0,0.003726820253242562
2018-03-14,-0.0001746473240532,0.0111168461464527,0,0.9929380776352145,0.007061922364799514,0.007061922364799514,1.0,0.003229594058195801
2018-03-15,-0.0008739756429668,0.0105793253979774,0,0.99470951427783,0.005290485722416658,0.005290485722416658,1.0,0.0019567301259529814
2018-03-16,-0.0029777889588116,0.0099668187536182,0,0.9908918986224166,0.009108101377242972,0.009108101377242972,0.9954459493113785,-0.002487056993420899
2018-03-19,-0.0215665907811588,0.0111730416950615,0,0.9414939760723888,0.05850602392799487,0.05850602392799487,0.9707469880360026,-0.00786018391457042
2018-03-20,0.0032856484426661,0.0111844614989248,0,0.9246633837998737,0.07533661620054316,0.07533661620054316,0.9623316918997284,-0.004461470852864859
2018-03-21,-0.0043635855035408,0.0112155124220488,0,0.7956772947484462,0.20432270525114188,0.20432270525114188,0.8978386473744291,-0.005299258488762379
2018-03-22,-0.0249924548367592,0.0126056925027491,1,0.03678453583102667,0.9632154641688658,0.9632154641688658,0.518392267915567,-0.010122954327520858
2018-03-23,-0.0267046928903611,0.0129016941808989,1,0.0007817935984035868,0.9992182064012565,0.9992182064012565,0.5003908967993718,-0.014868335113830757
2018-03-26,0.0364846907562655,0.0152646528959975,1,2.601083033181778e-07,0.9999997398918251,0.9999997398918251,0.5000001300540875,-0.0032580788063458987
2018-03-27,-0.0328954538339764,0.0166436709216814,1,5.1794890082256254e-09,0.9999999948204277,0.9999999948204277,0.5000000025897862,-0.0104942992616744
2018-03-28,-0.0115697656157006,0.0167430568636868,1,1.4312274642376775e-06,0.9999985687728677,0.9999985687728677,0.5000007156135662,-0.011935535284106357
2018-03-29,0.0181485047930783,0.0170628799299367,1,6.621286434036896e-07,0.9999993378717054,0.9999993378717054,0.5000003310641473,-0.0033073433581388583
2018-04-02,-0.0292758928303314,0.0179688862318031,1,2.3272394202594276e-09,0.9999999976726031,0.9999999976726031,0.5000000011636985,-0.0038215833461329183
2018-04-03,0.0111904722488781,0.017975867778839,1,3.867986230433315e-07,0.9999996132010731,0.9999996132010731,0.5000001933994634,-0.0088804270476104
2018-04-04,0.0156473919268164,0.0183997572647567,1,1.0981039315967676e-07,0.9999998901894347,0.9999998901894347,1.0,0.0008281421045481629
2018-04-05,0.0056804140804827,0.0184624038212969,1,2.3981696001951444e-07,0.9999997601826468,0.9999997601826468,1.0,0.0042781780437848235
2018-04-06,-0.0253419814269357,0.0190441784502496,1,1.2227049736326498e-09,0.9999999987776391,0.9999999987776391,0.5000000006111804,-0.004419919200217977
2018-04-09,0.0069986714558297,0.018446097695598,1,2.3336347124090105e-07,0.9999997666364197,0.9999997666364197,1.0,0.002834993657014243
2018-04-10,0.0218232851429386,0.0192640638056612,1,7.621773782812867e-09,0.9999999923784344,0.9999999923784344,1.0,0.004961556235826343
2018-04-11,-0.0057861067467979,0.0191297149438958,1,5.1286402120318756e-08,0.9999999487135951,0.9999999487135951,1.0,0.0006748565011034825
