Date,KO_ret,KO_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2016-12-08,-0.0075357521859847,0.0109273244836239,0,0.9962176400130928,0.003782359986642266,0.003782359986642266,1.0,0.003992852550532717
2016-12-09,0.0245851204538544,0.0097839577953406,0,0.995163727287373,0.004836272712928288,0.004836272712928288,1.0,0.007966032055601757
2016-12-12,-0.0023837715188526,0.0098252198936169,0,0.9993458413338077,0.0006541586664603024,0.0006541586664603024,1.0,0.0062050066306509975
2016-12-13,-0.0033469281120562,0.0098711142432009,0,0.9998202483576262,0.00017975164245125788,0.00017975164245125788,1.0,0.005782029503935997
2016-12-14,-0.0132575807165016,0.0102843814065489,0,0.9997236494213134,0.0002763505787109545,0.0002763505787109545,0.9998618247106446,-0.0003877824159081427
2016-12-15,0.0082164560221036,0.0103787957078846,0,0.9998547236508238,0.00014527634911362596,0.00014527634911362596,1.0,0.0027626592257095173
2016-12-16,0.0045619897745824,0.0103631028779713,0,0.9999141221466602,8.58778531382095e-05,8.58778531382095e-05,0.999957061073431,-0.0012419669101448828
2016-12-19,-0.0016780539389937,0.0102814077048652,0,0.9999350759457175,6.492405444606707e-05,6.492405444606707e-05,0.999967537972777,-0.0011008233941731027
2016-12-20,-0.0002399953943088,0.0100329988360962,0,0.9999491424596143,5.085754020322795e-05,5.085754020322795e-05,0.9999745712298984,-0.0004794368506236228
2016-12-21,-0.0021627369485338,0.0100542013771973,0,0.9999488578150231,5.114218502158317e-05,5.114218502158317e-05,1.0,0.0017395319029699374
2016-12-22,-0.0004812034927458,0.0099345223661193,0,0.999955323106732,4.467689319875858e-05,4.467689319875858e-05,1.0,5.738682098965774e-17
2016-12-23,0.0012023924199581,0.0097084651632111,0,0.9999620084067976,3.799159284268529e-05,3.799159284268529e-05,0.9999810042035786,-0.0006719194709248025
2016-12-27,0.0002403415670755,0.0096430859046222,0,0.9999635087461493,3.6491254030190716e-05,3.6491254030190716e-05,0.999981754372985,-0.0002882403697109625
2016-12-28,-0.0053012096994072,0.009618505508884,0,0.9999574151279328,4.258487248268106e-05,4.258487248268106e-05,0.9999787075637587,-0.0013004832307306423
2016-12-29,0.0050608681323316,0.0084390125404876,0,0.9999758888830943,2.4111117328864838e-05,2.4111117328864838e-05,1.0,0.00014423778544243767
2016-12-30,-0.0033708612945611,0.0084013640210968,0,0.9999777233277386,2.227667204541475e-05,2.227667204541475e-05,0.9999888616639773,-0.0004336937749206224
2017-01-03,0.008167356795724,0.0085039197281997,0,0.9999702770643971,2.9722935273844226e-05,2.9722935273844226e-05,1.0,0.0009592991002325575
2017-01-04,-0.0035951826880248,0.0085094577273076,0,0.9999770222559734,2.2977743836069894e-05,2.2977743836069894e-05,1.0,0.00019219424921249756
2017-01-05,0.0023981230521807,0.0084923821048906,0,0.9999796336633472,2.0366337070707962e-05,2.0366337070707962e-05,1.0,0.0017320607995300775
2017-01-06,-0.0002398385106943,0.0075954072907454,0,0.9999821375162462,1.7862483719291164e-05,1.7862483719291164e-05,1.0,0.0006719194709248976
2017-01-09,-0.0101133332835605,0.0077597739960833,0,0.9999625900440198,3.740995641035508e-05,3.740995641035508e-05,0.9999812950217948,-0.0006765749268749825
2017-01-10,-0.0067989812022636,0.0054412994715596,0,0.9999620643467835,3.793565277307525e-05,3.793565277307525e-05,0.9999810321736134,-0.0036698425264725027
2017-01-11,0.0002436206214687,0.0054418165455328,0,0.9999725426546062,2.7457345376198667e-05,2.7457345376198667e-05,0.9999862713273119,-0.002902081864573802
2017-01-12,-0.0024392517716801,0.0054251901115587,0,0.9999702402418709,2.975975784036115e-05,2.975975784036115e-05,0.9999851201210799,-0.0038695568293459623
2017-01-13,-0.0017107634947947,0.0046016857722043,0,0.9999514345515287,4.856544837785181e-05,4.856544837785181e-05,0.999975717275811,-0.004163741826166042
2017-01-17,0.0082828176929493,0.0046082465136732,0,0.9999284808274121,7.151917266333563e-05,7.151917266333563e-05,0.9999642404136684,-0.00048451163086408213
2017-01-18,0.0016963577207357,0.0044888929729224,0,0.9999448514500439,5.514855015732372e-05,5.514855015732372e-05,1.0,0.001214556153735778
2017-01-19,-0.0036389952876514,0.0045361798817415,0,0.9999447541058328,5.5245894001580566e-05,5.5245894001580566e-05,1.0,0.00043803297191175787
2017-01-20,0.0043651957212361,0.0046723905777532,0,0.9999492330525065,5.0766947939990075e-05,5.0766947939990075e-05,1.0,0.0017989224704949979
2017-01-23,0.0026590665263549,0.0047014877803055,0,0.9999520315505045,4.796844927623322e-05,4.796844927623322e-05,1.0,0.002672888474724918
2017-01-24,0.0112803297890774,0.0053510505117145,0,0.9999351840949019,6.481590539775755e-05,6.481590539775755e-05,1.0,0.0032723908939505373
2017-01-25,0.0052367327429263,0.0054571097576312,0,0.9999650345108777,3.496548925262469e-05,3.496548925262469e-05,1.0,0.003980465898388658
2017-01-26,-0.0073870084689698,0.0057440916643532,0,0.9999636777259316,3.632227390690989e-05,3.632227390690989e-05,1.0,0.0032308632621249776
2017-01-27,-0.0086476401995432,0.0059587209271087,0,0.9999625984283378,3.7401571752706666e-05,3.7401571752706666e-05,1.0,0.0006282960779691177
2017-01-30,-0.0016902317988217,0.0058515150951241,0,0.9999763837655503,2.3616234436336686e-05,2.3616234436336686e-05,0.9999881918827818,-0.00024156358706620232
2017-01-31,0.0045812984107002,0.0058993519668077,0,0.9999749870739456,2.5012926296214506e-05,2.5012926296214506e-05,0.9999874935368519,-0.0015813698627416425
2017-02-01,-0.0074855369274133,0.005814994749971,0,0.999966527313492,3.347268631262978e-05,3.347268631262978e-05,0.9999832636568438,-0.004125823796809563
2017-02-02,0.0033874796629859,0.0058384416925705,0,0.9999758948792482,2.4105120934407505e-05,2.4105120934407505e-05,0.9999879474395328,-0.0019709261704184224
2017-02-03,0.0033759215839762,0.0058662610875476,0,0.9999768257077901,2.3174291856950187e-05,2.3174291856950187e-05,1.0,0.00043378618628545746
2017-02-06,0.0004815020130702,0.0058685577158282,0,0.9999772830257933,2.2716974455226946e-05,2.2716974455226946e-05,1.0,0.0008681329486638376
2017-02-07,0.0081474829810894,0.0056646632615849,0,0.9999626357926212,3.7364207182574214e-05,3.7364207182574214e-05,1.0,0.0015813698627416776
2017-02-08,0.0028600614138981,0.0053973902848842,0,0.9999531558518426,4.684414807728783e-05,4.684414807728783e-05,1.0,0.003650489531003957
2017-02-09,-0.0184948895723911,0.0069667238233327,0,0.9997604182723964,0.00023958172805728622,0.00023958172805728622,0.9998802091359713,-0.0007259843160714426
2017-02-10,-0.0163756801120198,0.0078855107928596,0,0.9998284087483797,0.00017159125136035334,0.00017159125136035334,0.9999142043743199,-0.0046763046552706425
2017-02-13,0.0009854751172579,0.0078859386319469,0,0.9999744965976608,2.5503402545736666e-05,2.5503402545736666e-05,0.9999872482987271,-0.004575510034433102
2017-02-14,-0.0022184210286056,0.0076284612225128,0,0.9999815820906316,1.8417909566734143e-05,1.8417909566734143e-05,0.9999907910452166,-0.006648690836372102
2017-02-15,-0.0022224150948456,0.0076100804890499,0,0.9999731822421264,2.6817758256972392e-05,2.6817758256972392e-05,0.9999865911208715,-0.007665186138120841
2017-02-16,0.0186181946654404,0.0087517652303175,0,0.9998115053707832,0.0001884946290188337,0.0001884946290188337,0.9999057526854906,-0.00024256929055454235
2017-02-17,0.0007280316236455,0.0086954859774219,0,0.9999673098341261,3.269016542670858e-05,3.269016542670858e-05,1.0,0.0031781730565785178
2017-02-21,0.0055631213065628,0.0087680857120881,0,0.9999733313025025,2.666869764251852e-05,2.666869764251852e-05,1.0,0.004093702294439497
2017-02-22,0.0033708612945611,0.0084051005470116,0,0.9999792023980215,2.0797602268735078e-05,2.0797602268735078e-05,1.0,0.005211558759072838
2017-02-23,0.0014415480213216,0.0083144643071234,0,0.9999809830868052,1.9016913234658128e-05,1.9016913234658128e-05,1.0,0.005944351382306277
2017-02-24,0.0028757264418193,0.0081859349524636,0,0.9999810542734232,1.8945726930882895e-05,1.8945726930882895e-05,1.0,0.002795857737582058
2017-02-27,-0.0026357310475104,0.0079603327613318,0,0.9999810820061201,1.891799379526154e-05,1.891799379526154e-05,1.0,0.002123105203350878
2017-02-28,0.0069354715982812,0.0080815857178717,0,0.9999763828315212,2.3617168720783656e-05,2.3617168720783656e-05,1.0,0.0023975752616945583
2017-03-01,0.0047546592987434,0.0080860640483337,0,0.9999792363432963,2.076365683237269e-05,2.076365683237269e-05,1.0,0.002674334862531018
2017-03-02,0.0073262060758438,0.007973973661286,0,0.9999760611590796,2.3938840553543503e-05,2.3938840553543503e-05,1.0,0.003851266473435458
2017-03-03,0.0002353591661999,0.0079647100767748,0,0.9999817889850636,1.8211014940872808e-05,1.8211014940872808e-05,1.0,0.003323193018311578
2017-03-06,-0.0070869625074686,0.0081615099439642,0,0.9999732922307435,2.6707769109172522e-05,2.6707769109172522e-05,1.0,0.0024329467263199387
2017-03-07,-0.0045149547012922,0.0082466540992127,0,0.9999777227520413,2.2277247781226025e-05,2.2277247781226025e-05,1.0,0.00014286146640525802
2017-03-08,0.0,0.0080486172145418,0,0.9999820941986978,1.7905801168392562e-05,1.7905801168392562e-05,0.9999910470994158,-0.000808070393343422
2017-03-09,0.0009522788045203,0.0080255473327741,0,0.9999822024175404,1.7797582635171655e-05,1.7797582635171655e-05,0.9999911012086824,-0.002082855847608122
2017-03-10,0.0061666992938271,0.0068393200768693,0,0.9999784137136631,2.1586286397834172e-05,2.1586286397834172e-05,0.999989206856801,-0.000896587822082682
2017-03-13,0.0026209447394391,0.0054391948025496,0,0.9999731402055001,2.6859794558525204e-05,2.6859794558525204e-05,1.0,0.001044993627298858
2017-03-14,-0.0014289446752958,0.0054939659341433,0,0.9999735149809899,2.6485018841251403e-05,2.6485018841251403e-05,1.0,0.0016621956324981383
2017-03-15,0.0035676772383472,0.0054076984626663,0,0.9999706564298083,2.9343570406641835e-05,2.9343570406641835e-05,1.0,0.002375731080167578
2017-03-16,0.0030821636665962,0.0052999551394283,0,0.999964786936008,3.521306398504446e-05,3.521306398504446e-05,1.0,0.0028017080525827584
2017-03-17,-0.0052208962296475,0.004047313215156,0,0.9999110543426991,8.894565774388191e-05,8.894565774388191e-05,1.0,0.000524188947887838
2017-03-20,0.0035626513756755,0.0040707561422694,0,0.9999101008282345,8.989917178061643e-05,8.989917178061643e-05,1.0,0.0007125302751351179
2017-03-21,0.0075575438664619,0.0041960090772107,0,0.999899584382294,0.00010041561814241293,0.00010041561814241293,1.0,0.002509827983486658
2017-03-22,-0.0028273158848738,0.0042921960998651,0,0.9999280621670107,7.19378331464531e-05,7.19378331464531e-05,1.0,0.001230829358842458
