Date,TIP_ret,TIP_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-08-20,0.0039567439703914,0.0028678103199273,0,1.0,8.318819004168923e-41,8.318819004168923e-41,1.0,
2024-08-21,0.0022016062665905,0.002728653787215,0,0.9998668288463168,0.00013317115371663945,0.00013317115371663945,0.9999334144231417,
2024-08-22,-0.0031204476778421,0.0028710906349673,0,0.9994468344327946,0.000553165567237466,0.000553165567237466,0.9997234172163812,
2024-08-23,0.005317217520232,0.002998457286472,0,0.9990028738943458,0.0009971261057074412,0.0009971261057074412,0.9995014369471462,
2024-08-26,9.12459659045207e-05,0.003005128464399,0,0.999211042789636,0.0007889572103135903,0.0007889572103135903,1.0,0.0016892732090552642
2024-08-27,0.0,0.0030123071657556,0,0.9994588387374991,0.0005411612624776552,0.0005411612624776552,1.0,0.0008979244149769841
2024-08-28,-9.124596590456968e-05,0.0028193686223274,0,0.9997712495139394,0.0002287504860337397,0.0002287504860337397,1.0,0.0004393539684779702
2024-08-29,-0.0013725245648064,0.0028486225616828,0,0.9998630824934572,0.00013691750653955476,0.00013691750653955476,1.0,0.0007889385910851102
2024-08-30,-0.0032096106388521,0.0027734406004696,0,0.9999088223044987,9.117769545153147e-05,9.117769545153147e-05,0.9999544111522742,-0.0009164270407317097
2024-09-03,0.0020192768801222,0.0027360022899482,0,0.9999616550724978,3.8344927470152014e-05,3.8344927470152014e-05,0.9999808275362649,-0.0005308208578881739
2024-09-04,0.0026554834406453,0.0024196758288667,0,0.9999886174077608,1.1382592218961119e-05,1.1382592218961119e-05,1.0,2.7583024088612476e-07
2024-09-05,0.0006400112140604,0.0022731025720338,0,0.9999954401716246,4.55982835826884e-06,4.55982835826884e-06,1.0,0.00014652726623388005
2024-09-06,0.0006394568736083,0.0022424400080973,0,0.9999959724782844,4.027521713327248e-06,4.027521713327248e-06,1.0,0.00054892355391682
2024-09-09,0.0022808143074641,0.0022299671783032,0,0.9999948916632511,5.108336767163321e-06,5.108336767163321e-06,1.0,0.0016470085431800601
2024-09-10,0.0021845483095933,0.0022098711281719,0,0.999995117359373,4.882640624108163e-06,4.882640624108163e-06,1.0,0.00168006282907428
2024-09-11,0.0006363461652048,0.0021843782872458,0,0.9999962857675284,3.7142324690643244e-06,3.7142324690643244e-06,1.0,0.00127623537398618
2024-09-12,0.0001816667267241,0.0021697405520401,0,0.999996319206228,3.68079379575504e-06,3.68079379575504e-06,1.0,0.00118456647651892
2024-09-13,0.0033559373492479,0.0021461331838832,0,0.9999931816747066,6.8183253467791134e-06,6.8183253467791134e-06,1.0,0.00172786257164684
2024-09-16,0.0034348197473352,0.0021927942792308,0,0.9999927517184305,7.248281614485535e-06,7.248281614485535e-06,1.0,0.00195866365962106
2024-09-17,-0.0003609784941792,0.0022157450920615,0,0.999995759600106,4.240399892292337e-06,4.240399892292337e-06,1.0,0.0014495582988665599
2024-09-18,-0.0037079395420924,0.0023493558706027,0,0.999990232004238,9.767995803908315e-06,9.767995803908315e-06,1.0,0.00058070115740712
2024-09-19,0.0029855197003296,0.0023822327483274,0,0.9999916164336031,8.383566429589445e-06,8.383566429589445e-06,1.0,0.0011414717521282202
2024-09-20,-0.0013557928994022,0.0022618301687224,0,0.9999954874368266,4.5125632208938576e-06,4.5125632208938576e-06,1.0,0.0001991257023982001
2024-09-23,9.024717069206232e-05,0.0020013621432643,0,0.9999966224686627,3.3775313908954947e-06,3.3775313908954947e-06,0.9999983112343045,-0.00046978881293042746
2024-09-24,0.0024393294710944,0.0020412090245254,0,0.9999949835629054,5.016437043613905e-06,5.016437043613905e-06,1.0,9.027278012429252e-05
2024-09-25,-0.0037967685505125,0.0022706795203964,0,0.9999916331607759,8.366839167505749e-06,8.366839167505749e-06,1.0,7.250697844027252e-05
2024-09-26,-0.0012690876466562,0.0023014076723812,0,0.9999950650299195,4.934970024757279e-06,4.934970024757279e-06,0.9999975325149877,-0.0007784144909568875
2024-09-27,0.0024456652123332,0.0023029420449372,0,0.9999941698504805,5.8301495561897295e-06,5.8301495561897295e-06,0.9999970849252219,-1.8122868609807447e-05
2024-09-30,-0.0006335244988653,0.002144386834155,0,0.9999961898391629,3.810160841656843e-06,3.810160841656843e-06,0.9999980949195793,-0.0001628772025212799
2024-10-01,0.0032752721276332,0.0022013574085425,0,0.9999920507776682,7.949222370844087e-06,7.949222370844087e-06,1.0,4.311328786480058e-06
2024-10-02,-0.0009037006376231,0.0021878008341536,0,0.9999819358192967,1.806418069457504e-05,1.806418069457504e-05,1.0,0.00058292491136436
2024-10-03,-0.0042583595496893,0.0024454096978127,0,0.9997581606119071,0.00024183938807667186,0.00024183938807667186,0.9998790803059616,-1.4929469242259963e-05
