Date,NVDA_ret,NVDA_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2022-06-02,0.0671276201722152,0.0526146298014276,0,1.0,8.655821824253569e-17,1.0,1.0,0.028675883012537172
2022-06-03,-0.0455287570765609,0.0507554926066143,0,1.0,1.0602569541753098e-15,1.0,1.0,0.009506613056492735
2022-06-06,0.0035193399867671,0.0507200435133334,0,1.0,2.0933300861021327e-14,1.0,0.5,-0.00026599729131646414
2022-06-07,0.0074249408209424,0.0452675255291513,0,0.9999999999372449,6.291670910951966e-11,0.9999999999372449,1.0,0.0027022851992913556
2022-06-08,-0.0145861679614403,0.0448328029032923,0,0.9999999999363354,6.342288637505838e-11,0.9999999999363354,1.0,0.0035913951883846966
2022-06-09,-0.0327042851077762,0.0434748296707601,0,0.9999999998763087,1.2382823864839755e-10,0.9999999998763087,0.5000000000618456,-0.016374985867613583
2022-06-10,-0.0613518650724063,0.0453784503143654,0,0.9999999999990905,5.4386220181665e-13,0.9999999999990905,0.5000000000004547,-0.01953960746678266
2022-06-13,-0.0814035762447315,0.0440862483828615,0,1.0,1.7371311803623124e-13,1.0,0.5,-0.03652419071308238
2022-06-14,0.0120064873495668,0.0440239622994719,0,0.9999999996789484,3.2116254849283974e-10,0.9999999996789484,0.5000000001605258,-0.0356078814073575
2022-06-15,0.0427096179791864,0.043475698148792,0,0.9999999997380655,2.6206763555842164e-10,0.9999999997380655,0.5000000001309672,-0.024148724219232164
2022-06-16,-0.0576604409557191,0.0425303472451463,0,0.9999999999645297,3.576570688990061e-11,0.9999999999645297,0.5000000000177351,-0.02913995538882075
2022-06-17,0.017725465959897,0.0426837662132586,0,0.9999999983801899,1.6200659946288867e-09,0.9999999983801899,0.500000000809905,-0.013324489182360084
2022-06-21,0.0422917977832796,0.0435515509028641,0,0.9999999997553459,2.4432711108369694e-10,0.9999999997553459,1.0,0.011414585623242135
2022-06-22,-0.0125129933116305,0.0435274915207195,0,0.9999999996243787,3.7523716631184763e-10,0.9999999996243787,1.0,0.006510689491002674
2022-06-23,-0.0082859497300342,0.0423581050771637,0,0.9999999981446308,1.8551568351346841e-09,0.9999999981446308,0.5000000009276846,-0.003688424050841445
