,2016-02-02,2016-03-03,2016-04-04,2016-05-03,2016-06-02,2016-07-01,2016-08-02,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-02-01,2017-03-03,2017-04-03,2017-05-03,2017-06-02,2017-07-03,2017-08-02,2017-08-31,2017-10-02,2017-10-31,2017-11-30,2018-01-02,2018-02-01,2018-03-05,2018-04-04,2018-05-03,2018-06-04,2018-07-03,2018-08-02,2018-08-31,2018-10-02,2018-10-31,2018-11-30,2019-01-03,2019-02-04,2019-03-06,2019-04-04,2019-05-06,2019-06-05,2019-07-05,2019-08-05,2019-09-04,2019-10-03,2019-11-01,2019-12-03,2020-01-03,2020-02-04,2020-03-05,2020-04-03,2020-05-05,2020-06-04,2020-07-06,2020-08-04,2020-09-02,2020-10-02,2020-11-02,2020-12-02,2021-01-04,2021-02-03,2021-03-05,2021-04-06,2021-05-05,2021-06-04,2021-07-06,2021-08-04,2021-09-02,2021-10-04,2021-11-02,2021-12-02,2022-01-03,2022-02-02,2022-03-04,2022-04-04,2022-05-04,2022-06-03,2022-07-06,2022-08-04,2022-09-02,2022-10-04,2022-11-02,2022-12-02,2023-01-04,2023-02-03,2023-03-07,2023-04-05,2023-05-05,2023-06-06,2023-07-07,2023-08-07,2023-09-06,2023-10-05,2023-11-03,2023-12-05,2024-01-05,2024-02-06,2024-03-07,2024-04-08,2024-05-07,2024-06-06,2024-07-09,2024-08-07,2024-09-06,2024-10-07,2024-11-05,2024-12-05,2025-01-07,2025-02-07,2025-03-11,2025-04-09,2025-05-09,2025-06-10,2025-07-11,2025-08-11,2025-09-10,2025-10-09,2025-11-07,2025-12-09
regime,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AMZN,0.0161521522736841,0.01547675612004565,0.0272114556327715,0.031933199285633235,0.019865505749122776,0.028812763820874828,0.03449996162955479,0.02712794093454153,0.05141202517449527,0.021658829747440794,0.057008052193637804,-5.312315860006644e-05,-0.018709778713427168,0.011639002814015906,0.05596159014742421,0.13392708904399978,0.16543529963544862,0.005940020855498947,-0.0005670484424619678,-0.08006279457893319,-0.0705582884271593,-1.787740620079939e-07,-0.02631554230083712,-0.03946670287212041,0.06593073437319492,0.1,0.045842830011886423,0.600698850725054,0.2039302973695603,0.04602714792595603,0.32868799764084455,0.18629709144857612,0.49348216030372144,0.11613150073292784,0.39015676873353866,0.16324027942891062,0.05593133147378901,0.22949077512405727,0.12771244149692634,0.101340701131348,-7.141979931341013e-06,-0.012918425702451998,-0.009298996427407696,-0.0014802598518851096,-0.06921275727983145,-0.10951548207576597,0.10271871774817767,-0.12709247890719075,-0.039836077547258195,1.5407036323270292e-07,0.28019694088545155,0.2847451331496306,-0.06257235827052066,0.25993576482212477,-0.020305568292739933,-0.03779948036732367,0.25302961199025786,-0.1611723110616823,0.13848918017611897,0.004458959810477025,-0.03056740768175286,-0.24359052537432788,-0.1929413225022612,-0.16483561689226015,-0.18113157024415016,0.00046042541493070713,-0.1035237735500237,-0.151578206281573,-0.0010636789845337989,-0.01131801528459167,-0.14000603901215147,-0.231231091446806,-0.23059881135449295,0.10883060377681424,-1.555077625720146e-05,-0.13646408091806217,-0.06459984185761401,-3.913274274569559e-07,-2.981040602599827e-06,-2.3284033489251354e-07,1.451120809289643e-07,-0.08519280161161043,-0.11425041352155639,-0.04027025893458239,-0.012588120515597257,-2.6162135909896792e-06,-0.08567794702307767,-0.04697719158509456,-1.4925742439846137e-07,-0.08558715513131993,-3.605634867709438e-06,-0.18032895242213368,-0.043548653338355496,-0.061193662474551075,-0.05313923250017138,6.631905198087966e-08,-0.01670873417539926,1.6552956415778048e-06,9.605175150900181e-08,0.3432734315223214,1.7545317551078218e-07,0.08330762501808868,0.1,-1.5077040531122761e-05,-1.1983799064628086e-05,0.10144028666935827,0.02887296716448507,-0.048542525467882854,0.04082419673411095,0.02259676983900097,0.1,0.01446299983330005,0.01639332977079022,0.06425927320462328,-0.07664938160191967,0.03430895284885881,-0.0036097494523420048,0.049268348643559716,-0.15423863540698818
EFA,-0.044090211013685106,0.0020370920234963016,-0.0017588172715726858,-0.07097021909419891,-0.0703550001948868,-0.03161225996931044,-0.0032239224612717107,-0.06785232156554535,-0.020678775351485837,-0.0036824983848077965,-0.05107555784932503,-0.12963502380922992,-0.09626878094729213,-0.1345564701841076,-0.04576243892323544,0.14326236175826926,-0.07635915048166511,-0.13067659221958625,0.08846443942153136,0.1359373823798839,0.4256524648420454,0.28530982697868046,0.0779637241551601,0.20093991301345418,0.2325648923450597,0.1,1.382338900137756e-07,0.032523393139337865,0.12843889172394976,-0.1280456035163967,2.395103810262157e-05,-0.08665432310019648,-0.05267678787821889,-0.10318638020408694,-0.10898463963837449,0.14023756051486366,0.17585120443492996,-0.029765565416140692,0.2265087563761295,-0.18399574110781666,0.39103471234261344,0.4876339182208283,0.10804653587713411,0.11181944535988385,-0.15326851328215416,-0.08255473412669688,-0.2301402836665962,-0.05214462197619816,0.1001168097068328,0.475040362857971,0.031295886083664785,-0.16120578448591152,0.0028760435218005654,-0.22830492159911603,-0.055167419226372236,-0.1650769422681962,0.12395878800730724,-0.0002533908830006107,0.11414801931758174,-0.05118522537410781,0.1898367110325449,0.6506965733613476,0.5948345461458278,0.2024582938507893,1.0,0.5058863626140695,0.48442711971774255,-0.039320865385018895,-0.1325885227016095,0.4917755401376377,-0.02731001888887334,-0.016183028976305025,6.249507222172204e-05,-1.5007838323934297e-08,-0.08724235777563229,-3.114203764110921e-08,9.333757791512105e-06,-9.419131225381361e-07,5.245100848281394e-07,0.9999999999999988,1.443187740335099e-07,0.009187655857323316,0.0021607299431720263,0.012629920518589001,1.0,0.853254042956346,0.5588079592412049,0.6988974107740841,1.0230752951194214e-05,-2.603145054901869e-05,0.19747133483535145,0.2927216371707298,1.135488695796384e-06,2.9015762161833725e-06,-0.020626972265516335,-2.1022437670613113e-05,-0.019288225686050226,-2.340545289556083e-07,-0.0007282557064124212,6.772196247297207e-07,-0.0747321316454533,0.43749716726780014,0.1,-0.2101620396700727,-4.599439165777489e-06,0.2867487618187076,-0.16976548953570839,-0.11020511977691105,-0.1503254444524622,0.019106820282037005,0.1,-4.1235359815062694e-05,7.951292759943941e-06,-0.2122669378896849,0.030755820220824317,0.049166113390131355,0.0007708262171923727,0.021096705012504845,-5.267998084603553e-06
META,0.011159961125709912,0.023721314940053945,0.020051010129441313,-0.014396138174618166,-0.02870584704625733,0.01893413130588845,-0.0034471843972072834,-0.02317900561561186,0.010397865513740482,0.021785442994663142,0.04951047571023106,0.014142611204848686,0.02632407851015736,-0.029827619666017418,-0.019700722483118775,0.07227861249941551,-0.1161632089199968,0.02309918566299265,3.42530057335099e-05,-0.09062796878380888,0.13588211505026276,-1.711514140083726e-08,0.07698093399364064,0.07286594701397871,0.04369196580037208,0.1,-0.10050622385245267,-3.140444382189692e-06,-0.07689732113818253,0.07515496935634032,-0.08756238700547041,-0.09622119470516957,-0.1667693748357741,-0.04581409037241633,-0.09640716077781582,0.05550428258728646,0.1549664885995425,-0.0812978071635906,0.15227534420406452,-0.021853039306771023,0.1157565604023903,0.0003964417498718329,0.15810614681712087,0.07761926337805444,-1.7304172106805265e-09,0.044094155577612947,0.11120265945866861,0.10198759430153871,0.036063275657878334,-0.20373964919957221,-0.05392712350099343,0.18892814869089014,-0.03188286026827762,0.117493199350445,-0.07873162931519655,-0.04712357736448007,-0.07677405865948086,-0.07740940205470585,-0.07172740938266,-0.03762549480109922,-0.14212080242214906,-4.948794360756862e-09,0.12558230006707544,9.772752927401383e-09,0.02428625478344251,0.17946445649483,-0.08545988468229053,0.06986272387450783,-0.11634779831385662,-0.034661557959350234,-0.08268394209897525,-0.0025858795768889603,-1.209937002566711e-06,-0.11909688052624359,-0.16139501297417172,-0.03598071731769345,-0.11214709094241093,-0.1759696721495751,-0.24998876982484458,-0.24998371983425777,-0.25000013641123064,-0.12672858482021518,-0.03836439761401693,-0.13062098180282525,5.0525734141307325e-05,-4.79356237405985e-07,-2.2351835516763676e-07,0.04128113917785358,0.15448833444706167,0.7854277342576071,0.05993145901267742,0.12205734860367652,0.12970164228565018,0.06775256877643844,0.02415742879089791,0.6044685894196886,0.3597292657145623,0.1597287680638549,0.16316028063886115,-0.06009963104018284,0.12274716735682094,0.02083291723699106,0.1,0.03858637868286035,0.07216497421704021,0.14957873426772592,0.03969314372510699,0.038414124702051494,0.12441944523272107,0.05127899017550334,0.1,0.02147316400607883,0.10925231880614733,0.09166679327356746,0.11689180802283765,0.03704864803992631,0.015369125358216645,-0.09849737918758662,-0.06345338169951219
NVDA,0.005980437787048759,0.01995960474741559,0.02013970807915349,0.022159536007421723,0.01113630332781977,0.035288945091043605,0.059355034466972316,0.07482853131009311,0.06906396698592292,0.042864737344387234,0.036976256089246956,0.07314432818014593,0.10577740874534626,0.02488179617570476,0.086713063299356,0.09859201342080404,0.0728410476126226,0.08485671650372971,0.1543935959334768,-0.04485144723570157,0.09055886341056753,-0.01213793418128124,0.028284518715312113,0.023401550054014703,0.02523409244256966,0.1,0.12377477888793798,-6.524362426620427e-06,0.19581422743536517,0.01889888799960432,0.08602389183746964,0.08135588402657536,-1.7643102356582041e-09,-0.08430573878974729,0.018155862602458397,-0.12450767901563231,-0.10915771845887892,-0.09648249390313282,-0.0765654860267896,-0.019913612992591406,-0.08438900404044375,-0.06800090044619893,-0.10040370384313171,-0.06363261985349075,-0.027516433568419183,-0.05471314160744098,-2.8667382665802106e-08,-0.00045547092238832845,0.03855182153459827,0.1812514857729771,0.18197979040652557,0.22747949256701694,0.023340641139166604,0.2657574548885236,0.08981721062090632,0.028820848598845508,0.23185425502180843,0.31790488901976777,-0.022482794963659927,0.2738342090378648,0.07662156812225811,0.20640770024262098,0.024769675825303813,-0.0610309060085703,0.07994594879213614,0.16494677661183438,0.13128394727014797,0.07172533803643077,0.13856897329635687,0.03995036364334292,0.012953165938365081,0.1135914116289331,6.653621562982165e-07,-0.0772036892054337,0.12675365806431158,-0.0775552127156542,-0.02351876772512833,-1.5509083898968102e-07,-4.960514347562796e-06,-1.6184424578488083e-05,1.1192966395307354e-07,0.01984466891150184,0.07128017965236,-0.004306437437458982,-7.456838735987223e-05,7.861340551183908e-07,0.11907731280800261,0.1392148488759589,0.05735241479615457,5.333120742187095e-05,0.6168511693326697,0.21558958270370818,0.9594011255016778,0.41089069772022574,-0.02468938434780022,0.42817726488677915,0.3725190042499235,0.26442334086081004,0.048804205428845414,0.09833022430709393,0.22067708930140506,0.2777415027973669,0.1,0.10054970110674911,0.10629958959829722,-0.060850745348215524,0.0895172126142957,0.0740322876536718,0.0824555435554278,0.06627719427131414,0.1,0.06553350657466868,0.06706362725073003,0.014781275911469098,0.013491522329179504,0.01055822401026352,0.019253178663796545,0.005628905639083929,0.17709553583237203
SPY,-0.12241257786414125,-0.12250289854530265,-0.20420928422901186,-0.1548266291401016,-0.14186788634915318,-0.1523321044003252,-0.10283825643520804,-0.11825116055169818,-0.12075562506038891,-0.05733616922319536,-0.027290529837075257,0.04231607961699268,-0.03427918808819461,0.2072535767984385,-0.05341800002606646,-1.0062371227068413e-05,0.04544191747531645,1.801931096438224e-05,-4.2036499698985785e-07,0.3773114620388902,-0.15003620943544363,0.21412285466045872,-0.1787983951444196,-0.16268267059114208,-0.2323189640185297,0.1,-1.4217828587544953e-08,1.927801788709997e-07,0.3086274743157229,1.0,0.0001483820514144581,0.0010213722420342425,1.5034296113927504e-06,2.625236541215958e-09,0.0013988313251386286,9.431167622619696e-05,0.00011901231265375597,-3.2800618326453398e-06,-4.433121465680765e-07,1.634985934560155e-05,8.778335147308819e-06,6.64474697766925e-05,-0.023958538527403823,-0.05753874907113869,-1.6672607383969128e-08,-2.4626084058538353e-08,-2.581664366270419e-07,0.31106210105305326,-0.2101639224527419,1.5202315761716259e-06,-0.14490973599861903,6.953931721558846e-05,0.026529114528005486,-1.3654232778257006e-06,0.04668540016126966,0.48050856892328586,-2.753687409928974e-07,-0.0010935136819264471,0.21274697845347124,8.118718281340201e-05,0.2948464163842066,0.00039454224727537856,0.3064289546281558,0.9560628578212736,2.8267423650319124e-09,0.2017995447997221,1.2821532824804561e-05,1.0,0.8544579515000241,0.5391793695325652,1.0,0.5455274048183874,1.0,3.722270960879278e-08,5.591153589096309e-06,1.095140924882357e-08,2.6029043025869814e-06,3.194813901304702e-07,9.378144203735274e-06,0.011310276978987276,-1.5215306776430924e-08,2.193550338856809e-06,4.9595663910081833e-05,0.23212463975872719,0.0001415643160665112,4.436182507205967e-08,2.8290220436686953e-07,3.3199315651847486e-05,1.8576523951604385e-07,-8.743317907874551e-05,6.084773180545258e-07,0.004430866194024286,-8.68253163021598e-06,4.540730726132283e-05,1.9076797972335336e-07,4.317768195623933e-06,-7.673376114564819e-05,4.192560325725672e-08,0.04864746969710496,-1.2873675964529465e-09,4.959973873663772e-06,2.278566334755382e-06,0.1,-1.671339071366258e-08,-0.21289162986649912,0.1464928120002952,-0.08023451046429157,-0.09125235475520606,-0.0996745555475378,-0.24667575344716278,0.1,-0.24995876464018493,-0.2499999999999999,0.33633499680152107,0.3904092833881765,0.3660410446127873,0.5650564767070189,0.5035225979594575,0.6331861398101513
TAIL,0.9999999999999998,1.0,0.9999999999999999,0.9799530427049938,0.9638063081463413,0.9640623520618598,1.0,0.9575129465629222,0.9999999999999979,0.9999999999999996,1.0,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999988,0.7452791254043252,0.7405340644819776,0.13286426521203826,0.5830812643876466,0.5694442049374263,0.3143904384044849,0.750567322634948,0.09832788102319458,0.16970577319885832,0.04582487883883649,0.1,1.5263219396385425e-08,-0.05707001646469341,-0.03648079400284069,7.356059827315535e-05,-0.07617066359759782,0.07393598613485314,1.8753323137035882e-08,-7.82417739251173e-09,-1.2462567182189565e-07,0.28225825453012476,0.15880243047085651,0.13794752587091644,0.5124525024142265,0.057306448531688106,0.24698884075440738,0.32645168089354487,0.32545803080487595,0.23645414382385285,0.2435734983348207,0.3598124828656413,0.5669184655366898,0.31400803910306746,0.016612036079686216,-2.1498954314161116e-09,0.47718289773689093,0.19263430426031275,0.3481562686889671,0.2776204678312105,0.3485846668026449,0.29500126530311666,0.31403564558268915,0.35689298284391074,0.4636198971550729,0.47752589858877004,0.44088697974335844,7.872647295224265e-07,0.00013170041119169224,1.224645197948801e-07,0.10366775731894344,0.013919520497704056,-0.056323106797886026,-0.059091945853171526,0.13627513788055515,-0.027148861531415817,0.0573255561060954,0.00028220273167533686,0.16035362115559973,0.2932974746274371,0.18255181485991864,4.6205555049701336e-07,0.22973246021462676,0.6477863061608053,0.38275257825873826,3.664968528813607e-05,0.2941995374133399,0.480847640049416,0.6362436026856361,1.1836788320051869e-06,0.03510183363512875,2.257722819372866e-07,0.5721124018523106,0.31629183016571216,1.0,0.18528942082323827,0.3757452214471311,0.4172941629224534,0.16089625083635484,0.4052378020223158,0.006117145363516082,0.023168415387915732,0.46455951238305077,0.19654678422404576,0.5458227442289899,8.546803662816562e-06,-0.12057772463480147,-0.00011294809694760598,0.1,0.17971802072177243,0.10079477902973433,0.559890041098538,0.1338299193688363,0.016505799550453597,0.054464879932932704,0.07000665984800165,0.1,0.17028014551753143,0.1620520778305041,0.12897680364276448,0.23770580921447035,0.45918490573483695,0.46023563015103414,0.5896027527634125,0.2858952845039331
TSLA,0.0018948162946718678,-0.006496655427171068,-0.0036791393212999342,0.005843950013352499,-0.00220554645788927,-0.005984257102427792,-0.0024043545184009607,-0.006810972797228004,-0.010112170725520857,0.0026781394624711546,-0.041074823237008215,-0.03226739759608296,-0.022578076989012912,-0.0028375047882643833,-0.022795173696600217,-0.045125029609109246,-0.04612392643654228,0.003221792454776038,-0.00010354632685944981,4.9313461579578606e-08,0.05100184711350247,-0.12302091433635835,0.010117172916113384,0.03501189833705839,0.02376265462267619,0.1,-0.1494942557375733,-0.19292031872849782,-0.09693673404514792,-0.021450924149802243,-0.08626694939693165,-0.06712448219463403,-0.030553834347252357,-0.01669378080859836,-0.04460819958380967,0.05505348956601829,0.027287114814516056,-0.04245085345530355,0.02731690614903047,-0.02423760659282095,0.06447325990120951,0.06694399806323256,-0.0023589188519587663,0.019897285974428414,-2.2941391779829723e-06,-0.0032166175640120694,0.013203935306176771,0.014157982870339035,0.03848169939457893,-0.046260502767713006,0.010649265030058397,0.09011520303061464,0.05599319043243282,0.10988979242888788,0.05970209189841654,0.044928099274834904,0.1388082095274862,0.25098988615918866,0.08078000505764917,0.1294363169764565,0.14763213671916944,0.15890871121869068,0.1195508182522034,0.0914787160906642,0.04209626255219489,0.1804331375220792,-0.004693234969799763,0.013479161605049916,0.008969300102176806,0.17650965871019017,0.03580739862303268,0.0358374034992028,-0.019399978708504524,-0.012049318524038734,0.02965359779728714,0.19163094679371684,2.901501607351292e-06,0.09007767129678733,0.09301958851647348,1.2584717937076142e-07,0.08899237327110784,0.00022860904936523665,-0.06899581959168626,-0.06370275763165191,6.39335781126287e-08,0.13559798000835663,-3.2200892317354235e-07,-0.20302233935126257,-0.2500001827496081,1.1477389937833881e-05,-1.530471295501401e-08,-1.296448702914045e-07,-0.06602894743899496,-0.027344466391522063,0.07255316824375219,-0.00015177007716199242,-0.07692161978918288,-0.03558465965737772,-0.02192315822931251,-0.07357025355929492,-0.05468199737989119,0.1404330427061383,0.1,-0.03980659234201333,-0.037091786895270505,0.002513777259289144,0.006406067025570037,0.0023690757589631007,0.00014439776783230218,-0.003324246552837243,0.1,0.027807062588832324,0.027347040745851092,0.013593663921018604,-0.017820838026071376,0.00942216869311751,0.02555875740731779,0.020076598659493426,0.08353446910336138
USMV,0.18222748846170356,0.08997627914177429,0.18259782615863385,0.2101102719885987,0.22991453550867286,0.18756194505761886,0.040751814829152536,0.1586270629597458,0.0519149763663635,-0.011605624672341304,-0.04306970057418778,0.11067703100810362,0.11789851274449709,-0.05450983789835618,0.04195403912647153,-0.13776774931580724,0.12685746970548908,1.0,-0.004664121858453525,-2.5690501291993993e-07,3.6769367648683158e-06,-8.668435639377439e-09,0.8116129881910352,0.6613217254812256,0.7864016530686111,0.1,0.6783846601196079,1.7898800415043295e-09,0.3323637522963082,0.04225668210530629,0.5317355980703042,0.6239092736520543,0.4175590443101001,0.839984944850405,0.6332879592879501,0.46949829765014306,0.5894192057835002,0.717041368742143,0.2037344926717695,0.8143735237541099,0.40011823369073934,0.36850751360274575,0.6583892865008691,0.7674416596678834,0.7288632715735742,0.5774390505954337,0.08935116549352344,0.23307901852300308,0.8573119141439925,8.626062523349294e-06,-0.051163140500387526,-0.047037141137317155,0.4905315524887073,-0.020267197732993143,0.3808752582310061,0.2632341940923254,-0.17322566597177833,-0.010071382318684808,-0.15578979565368006,-0.16118927982479295,-0.07731178989609816,-0.0064094725977887216,-4.521418176348997e-05,4.865439583625309e-08,2.1047015712052405e-07,0.0024784343157633155,0.36772918344282735,0.01021392414479347,7.999743048819781e-07,9.392357605190147e-06,0.010190536592031629,0.5422059210970451,0.011745306188910273,0.7344021467179529,0.7861928223770366,0.9677824459780155,1.0,0.5121360974333643,0.3996661819389988,0.23864054423137784,0.22172470321527205,0.4135507233684997,0.5402010451723713,1.0,0.21470319281749103,5.690145629499501e-06,8.902637895259913e-09,-4.6906364291913453e-07,0.03814898722294783,2.3855507466549466e-06,2.22199565394429e-07,0.1978680317241297,-1.5411237862219503e-07,0.3660706225975423,1.0,0.1941713045621211,0.053188864840641406,0.6292998743717696,0.44356520395444665,0.808385692690718,0.9065687102475882,0.29018546640728016,0.1,0.9005228906272685,0.9003717571844623,-6.196170507037673e-09,0.8546173125084496,0.8096723326390485,0.8785565267084255,0.8787731253793898,0.1,0.7858674511837114,0.7490118736016927,0.4114346945096969,0.26356820400904407,0.06668245973795203,-0.11648552530068243,-0.12862152624929285,-0.03204325281099219
VIXY,-0.02800146812881307,-0.003510978549799712,-0.010063076332483952,-0.002127718769328619,-0.00668180251828171,-0.00397982784702825,-0.007497925394951245,-0.002163319193841802,-0.00836217728525786,-0.004384862830744814,-0.025001925816492774,-0.013870687943500817,-0.06180041890412821,-0.01862489493686329,-0.07939639125063053,-0.06709715870385628,-0.011353714161795649,-0.017169701067979475,-0.2446648630072282,-0.03445758181000441,-0.029405502137397028,-0.04582182522877771,-0.04488606255474339,-0.04785062653673763,0.02658912850867981,0.1,0.1558149081069198,0.22220963920426334,0.08082535685909363,0.06758875201451985,0.12947221831688535,0.0903897768133446,0.12021928383123151,0.0856536122420152,0.1039229729364327,0.08411352404642707,0.08762321211021215,0.10806721873527106,-0.006787086787331268,0.029791982352090695,0.031619614573492605,-0.043516763901884324,-0.028257184263591365,0.036768201795897015,0.05848182078811122,0.025341705465022738,-0.019859458166967027,0.00430566284532831,0.09286106596464322,0.24876552129345014,0.11111884648232372,0.26602817898431924,0.024521804125489596,0.21930332067880814,0.02671611154783687,0.04410502541034083,0.18831353176451543,0.05169046006630094,0.08785069503310211,0.13254368462143787,0.006451392173980354,0.038145801781309344,-0.05701346331597528,-0.024133196708801378,-0.0688684325825923,-0.25000000000000006,0.07615825997516679,0.08471885233921796,0.11147834137984443,0.0025756756186586156,0.07215558057828106,0.012542536595164692,0.002060304121394074,-0.04165009720902364,-0.001347078473938998,0.09058621271297623,-0.049734299474846685,-0.07402915900042611,-3.288620205320331e-06,-9.46263162304034e-08,-7.937856159472842e-09,-0.038078613568173825,-0.028389369272740574,-0.011099564193481447,-0.2373373167536856,-0.24999690443017136,-0.16432173096799915,4.1473120106205503e-07,1.827630751973779e-07,-0.16429938023905247,-0.24999645563006892,-0.0696709179329961,-0.14037521541256212,-0.16145785515671401,-0.15154460165449182,-0.2498272074851674,-0.137004686588222,-1.8876159260517265e-07,-0.07659067636108362,-0.11633011366371455,-8.146339854124578e-06,-0.07190435171629472,0.1,-1.6275132362619345e-05,0.03535949346119656,0.0033360213538510103,0.04637343654413034,0.05445773714499301,0.06250295890238268,0.048462818359822,0.1,0.04359233151041795,0.049511197227574605,0.09772770250691075,0.026611744473589008,-0.006647464345896173,0.015964749590819702,-0.02288109456312044,0.07028857075018285
