Date,JNJ_ret,JNJ_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2015-02-02,0.0068666664234335,0.0129901544723263,1,4.202530486197048e-28,1.0,1.0,0.5,
2015-02-03,0.0160368120580942,0.0135150466162683,1,4.182298248899193e-05,0.9999581770176871,0.9999581770176871,0.5000209114911565,
2015-02-04,-0.0107938719561589,0.0136756121597542,1,6.185416895441015e-05,0.9999381458314187,0.9999381458314187,0.5000309270842906,
2015-02-05,0.0107938719561589,0.0129092362801631,1,0.00023028963482413033,0.9997697103652632,0.9997697103652632,0.5001151448173684,
2015-02-06,-0.0133625538913743,0.0129734368772399,1,0.00013575554744274222,0.9998642444522189,0.9998642444522189,1.0,0.0019081849180306802
2015-02-09,-0.0131422802671067,0.0129477355999153,1,0.00016305400101479658,0.9998369459988052,0.9998369459988052,0.5000815270005974,-0.00209360442007736
2015-02-10,0.0056966285813141,0.0130741910514877,1,0.00038119984106869877,0.9996188001588504,0.9996188001588504,0.5001905999205748,-0.0041616411154333805
2015-02-11,0.0002990993641839,0.0130563928818847,1,0.0004257561952293936,0.9995742438046518,0.9995742438046518,0.5002128780976741,-0.00194304685136482
2015-02-12,-0.0195161684114595,0.0135860676625417,1,0.00021082784605741048,0.9997891721542971,0.9997891721542971,0.5001054139228515,-0.0080050549248885
2015-02-13,0.0119158155935619,0.0136607884956512,1,0.007526218527951816,0.9924737814722987,0.9924737814722987,0.5037631092638506,-0.0029493810279012595
2015-02-17,0.0081978706291149,0.0133099729726483,1,0.08651129723695497,0.9134887027632029,0.9134887027632029,1.0,0.0013186491513430606
2015-02-18,-0.0047913095188886,0.0119749609134748,0,0.44005741966499873,0.5599425803348954,0.5599425803348954,0.7200287098325523,-0.0007789384686974794
2015-02-19,0.007376024037824,0.0120189970359537,0,0.706941747935885,0.293058252063939,0.293058252063939,1.0,0.0006364464660305406
2015-02-20,0.0025969358642393,0.0112246513227934,0,0.920720599316977,0.07927940068299848,0.07927940068299848,1.0,0.005059067321170301
2015-02-23,-0.0007981969019146,0.0107457246923332,0,0.9832501110978168,0.016749888902232224,0.016749888902232224,1.0,0.0025162648220750003
2015-02-24,0.0051770297899476,0.01082226316066,0,0.9954607575617374,0.004539242437948161,0.004539242437948161,1.0,0.0019120966542415403
2015-02-25,0.0050518519222233,0.0108856319818835,0,0.9980473248396001,0.0019526751604553466,0.0019526751604553466,1.0,0.0038807289424639207
2015-02-26,0.0155876532635069,0.0113296278517116,0,0.9980594583763246,0.0019405416233827235,0.0019405416233827235,1.0,0.005523054787600501
2015-02-27,-0.0028249577606781,0.0112044776924138,0,0.9992707837585181,0.0007292162411335232,0.0007292162411335232,1.0,0.004438676062617021
2015-03-02,0.0069022480111525,0.0099404807645649,0,0.9997934311265418,0.00020656887386381656,0.00020656887386381656,1.0,0.0059787650452304405
2015-03-03,-0.0085625303511325,0.0101286881398571,0,0.9998034880133495,0.00019651198679893834,0.00019651198679893834,1.0,0.003230853017014421
2015-03-04,-0.006764693771545,0.0096289062547781,0,0.9998087460131324,0.00019125398694653525,0.00019125398694653525,1.0,0.0008675438782607605
2015-03-05,0.0085223414360357,0.0094616261637759,0,0.9993495128901646,0.0006504871098857351,0.0006504871098857351,0.9996747564450572,-0.0005455184872334796
2015-03-06,-0.0237882733025391,0.0106474051187629,0,0.9953838156920266,0.004616184308139868,0.004616184308139868,0.9976919078459301,-0.0047381815956056795
2015-03-09,0.005479085505,0.0103065253930773,0,0.9989444992391292,0.0010555007604683793,0.0010555007604683793,0.9994722496197659,-0.00502281409683618
2015-03-10,-0.0112894778737969,0.010188594318008,0,0.9992748034900836,0.0007251965095673962,0.0007251965095673962,0.9996374017452163,-0.0055682036013690595
2015-03-11,-0.012231678035288,0.0104665917705826,0,0.9991150516856333,0.0008849483143714067,0.0008849483143714067,0.9995575258428143,-0.0066616004541176594
2015-03-12,0.0152415987306026,0.0110563362921096,0,0.9988149638833228,0.0011850361167788858,0.0011850361167788858,0.9994074819416106,-0.00531774899520428
2015-03-13,-0.0062303332904478,0.0101819023350824,0,0.9992112439930307,0.0007887560068312604,0.0007887560068312604,0.9996056219965843,-0.001806160992786019
2015-03-16,0.0184756583539951,0.0106555554058867,0,0.9980157393863817,0.0019842606135109585,0.0019842606135109585,1.0,0.0007931535770130009
2015-03-17,-0.011644879817483,0.0108780466869854,0,0.9979073938563627,0.0020926061438229318,0.0020926061438229318,1.0,0.0007220731882757809
2015-03-18,0.0155951853324933,0.0113433338704977,0,0.9975257170744071,0.002474282925892436,0.002474282925892436,1.0,0.006287445861832041
2015-03-19,0.0022643820465016,0.0112515448228545,0,0.9983780476900136,0.001621952309604508,0.001621952309604508,1.0,0.0036920025250118406
2015-03-20,0.0069579135027947,0.0113294144295079,0,0.9978868951828759,0.0021131048169514832,0.0021131048169514832,1.0,0.006329651883660341
2015-03-23,0.0056476004677935,0.0113655165805296,0,0.996137272114464,0.0038627278857588532,0.0038627278857588532,1.0,0.003764040306420021
2015-03-24,-0.009953883136302,0.011600509876838,0,0.9911388540190691,0.008861145981352223,0.008861145981352223,1.0,0.0041022396426562205
2015-03-25,-0.0160160838291929,0.0121218879383353,0,0.9860097936220129,0.0139902063781803,0.0139902063781803,0.9930048968109099,-0.002220014189681019
2015-03-26,-0.0019956084773064,0.0115216781765041,0,0.9902679968406565,0.009732003159495501,0.009732003159495501,0.9951339984202523,-0.003072012294442619
