Date,DBC_ret,DBC_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-08-20,-0.0040825673215095,0.0099393072772878,0,1.0,1.5401923650199945e-15,1.0,0.5,
2024-08-21,-0.0050125247461826,0.0099790602202572,0,0.9999545244111874,4.5475588758203405e-05,0.9999545244111874,0.5000227377944063,
2024-08-22,-0.0009139614960435,0.0099470026509894,0,0.9999459552158723,5.404478407374027e-05,0.9999459552158723,0.5000270223920639,
2024-08-23,0.0176753984085487,0.0105707266318175,0,0.9999993281655845,6.718343682513109e-07,0.9999993281655845,0.5000003359172078,
2024-08-26,0.0102793767731659,0.0107511578420392,0,0.9999990177463182,9.822536718037443e-07,0.9999990177463182,1.0,0.0035891443235957997
2024-08-27,-0.0049030465003416,0.010791675237323,0,0.9999981038037974,1.8961962051543295e-06,0.9999981038037974,1.0,0.00342504848782938
2024-08-28,-0.0121377178355454,0.0098026803736822,0,0.9999534313392446,4.656866071597554e-05,0.9999534313392446,1.0,0.00200000986995682
2024-08-29,0.0112437760393095,0.0098122922387526,0,0.9999396144358745,6.0385564146344384e-05,0.9999396144358745,1.0,0.004431557377027421
2024-08-30,-0.0112437760393096,0.0091978702516013,0,0.9997088907982626,0.000291109201751742,0.9997088907982626,0.5001455546008686,-0.0013522775125442397
2024-09-03,-0.0201011106614429,0.0102825146050748,0,0.999996327267732,3.672732264295265e-06,0.999996327267732,0.500001836366134,-0.007428374999465999
2024-09-04,-0.00741089926885,0.0102498785574815,0,0.9999853162835596,1.4683716466227961e-05,0.9999853162835596,0.5000073418582203,-0.00792994555316768
2024-09-05,0.0023217510377831,0.0100248435700678,0,0.9999629843281554,3.7015671856672114e-05,0.9999629843281554,0.5000185078359223,-0.005038051778501979
2024-09-06,-0.0135420087275304,0.0101334595077716,0,0.9999869322239245,1.3067776021186311e-05,0.9999869322239245,0.5000065338880377,-0.009995208731869959
2024-09-09,0.0028168403752042,0.0100332279578009,0,0.9999620601817969,3.7939818179144095e-05,0.9999620601817969,0.5000189699091016,-0.0071830854489672
2024-09-10,-0.0146401346103123,0.0096763565121973,0,0.9999499199281818,5.008007178509586e-05,0.9999499199281818,0.5000250400359091,-0.006090890238741079
2024-09-11,0.0089983010194492,0.0099523486165502,0,0.9999699228502216,3.0077149818725412e-05,0.9999699228502216,0.5000150385748892,-0.0028090501810812394
2024-09-12,0.0191461024202631,0.0110147172741276,0,0.9999999371490296,6.285093670868742e-08,0.9999999371490296,1.0,0.0005558200954147608
2024-09-13,0.00184848408795,0.0108229017355255,0,0.9999985319577125,1.46804227040704e-06,0.9999985319577125,1.0,0.0036339186585108403
2024-09-16,0.0073596701945177,0.0109393678248268,0,0.9999994069027647,5.930972861670947e-07,0.9999994069027647,1.0,0.004542484622373541
2024-09-17,0.0068508484598791,0.011015582267855,0,0.9999995622831469,4.3771683994561504e-07,0.9999995622831469,1.0,0.00884068123641182
