,latest_return,cumulative_return,sharpe,ann_return,ann_vol,max_drawdown,portfolio_value,date,days_tracked
0,0.0,1.0,0.0,0.0,0.0,0.0,1000000.0,30/12/25,1
0,-0.003306054,0.9966939462686536,-2.049390153,-0.013789845,0.006775394,-0.003306054,996693.9462686536,31/12/25,2
0,0.0020910695308691,0.9987781026112976,-0.6317030484566247,-0.0050899871988115,0.0080780576482446,-0.0033060537313464,998778.1026112976,2026-01-02 00:00:00,3
0,0.0043044870112983,1.0030773299811573,1.0820033330653076,0.0130601258408673,0.0119924878315188,-0.0033060537313464,1003077.3299811572,2026-01-05 00:00:00,4
0,0.0008698525197392,1.0039498593241347,1.37336030281856,0.0167677708405886,0.0121084702639393,-0.0033060537313464,1003949.8593241348,2026-01-06 00:00:00,5
0,0.0025016610494785,1.0064614015828357,2.072197055277293,0.0275063093288363,0.0130954093999193,-0.0033060537313464,1006461.4015828356,2026-01-07 00:00:00,6
0,-0.0038003587503925,1.002636487188398,0.7279626959103301,0.0112371823790706,0.0153507344638591,-0.0038003587503924,1002636.487188398,2026-01-08 00:00:00,7
0,0.0027372862979321,1.0044464449004389,0.7482901169597319,0.0191298471080507,0.0253242481324333,-0.0128818679816753,1004446.4449004388,2026-01-27 00:00:00,8
0,0.0027372862979321,1.0044464449004389,0.7482901169597319,0.0191298471080507,0.0253242481324333,-0.0128818679816753,1004446.4449004388,2026-01-27 00:00:00,9
0,0.0027372862979321,1.0044464449004389,0.7482901169597319,0.0191298471080507,0.0253242481324333,-0.0128818679816753,1004446.4449004388,2026-01-27 00:00:00,10
0,0.0027372862979321,1.0044464449004389,0.7482901169597319,0.0191298471080507,0.0253242481324333,-0.0128818679816753,1004446.4449004388,2026-01-27 00:00:00,11
0,0.0011636286482214,1.014980306840284,1.6792514640337353,0.0651809836625438,0.0376076100992264,-0.0126474596568731,1014980.306840284,2026-02-20 00:00:00,12
0,0.0011636286557352,1.014980306805929,1.6792514607985036,0.0651809835106553,0.0376076100867326,-0.0126474596568731,1014980.306805929,2026-02-20 00:00:00,13
0,0.0013864307855556272,1.0210045894359114,2.2805301686763677,0.09202859939064822,0.03861051606524376,-0.012647459656873195,1021004.5894359114,2026-02-27 00:00:00,14
