Date,XLU_ret,XLU_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-08-20,-0.0021377718395748,0.0090797875340952,0,1.0,3.3397279482053564e-31,3.3397279482053564e-31,1.0,
2024-08-21,0.0070637039337686,0.0089324686295741,0,0.9999185616264123,8.143837356848615e-05,8.143837356848615e-05,0.9999592808132158,
2024-08-22,-0.0011960312753753,0.0085965165915672,0,0.9999406408711772,5.935912885392684e-05,5.935912885392684e-05,0.999970320435573,
2024-08-23,0.0027881656114132,0.0084595544259832,0,0.9999454125297393,5.458747022685609e-05,5.458747022685609e-05,0.9999727062648865,
2024-08-26,0.0064760660996788,0.0084908345381076,0,0.9999354352460749,6.456475388386587e-05,6.456475388386587e-05,1.0,0.0025988265059821
2024-08-27,-0.007935549117551,0.0088142013534974,0,0.9999169774611434,8.302253882321602e-05,8.302253882321602e-05,1.0,0.0014392710503868598
2024-08-28,0.0,0.0084691240783372,0,0.999946625232143,5.337476786135077e-05,5.337476786135077e-05,1.0,2.6530263633139928e-05
2024-08-29,0.0054295003154961,0.0076386979972755,0,0.9999600681413888,3.993185855889368e-05,3.993185855889368e-05,1.0,0.00135163658180742
2024-08-30,0.0074993838947752,0.0077724821585152,0,0.9999355534017096,6.444659830313892e-05,6.444659830313892e-05,1.0,0.00229388023847982
2024-09-03,-0.0014428272382288,0.0041797331147399,0,0.9996732749392006,0.0003267250607581942,0.0003267250607581942,1.0,0.0007101015708983
2024-09-04,0.0084962025276326,0.0041862851826198,0,0.9996426836037716,0.00035731639625039897,0.00035731639625039897,1.0,0.00399645189993502
2024-09-05,-0.002476003091401,0.0042744719488841,0,0.9996160878636781,0.0003839121363560098,0.0003839121363560098,1.0,0.00350125128165482
2024-09-06,-0.009570707290723,0.0050245404636007,0,0.9997220541398771,0.00027794586013136894,0.00027794586013136894,1.0,0.0005012097604109999
2024-09-09,0.0100923495862518,0.0053550601481215,0,0.9999026133665971,9.738663345020382e-05,9.738663345020382e-05,1.0,0.0010198028987063196
2024-09-10,0.0046840235879714,0.0053867673919786,0,0.9999335837834613,6.641621649429817e-05,6.641621649429817e-05,1.0,0.0022451730639463595
2024-09-11,0.0031102971780633,0.005324562455784,0,0.9999331495665342,6.685043345141907e-05,6.685043345141907e-05,1.0,0.0011679919940324995
2024-09-12,0.0021972930046789,0.0052856995968066,0,0.9999303221740666,6.96778258845475e-05,6.96778258845475e-05,1.0,0.0021026512132484797
2024-09-13,0.013975555216415,0.0058676839467314,0,0.9999316237214307,6.837627855828619e-05,6.837627855828619e-05,1.0,0.006811903714676079
2024-09-16,0.0076105350623653,0.0059535596384024,0,0.9999529395895003,4.7060410515710306e-05,4.7060410515710306e-05,1.0,0.00631554080989878
2024-09-17,-0.000758532965414,0.0059520788551398,0,0.9999520866565339,4.791334349416919e-05,4.791334349416919e-05,1.0,0.0052270294992217
2024-09-18,-0.0076161291362808,0.006301978756756,0,0.9999343138470014,6.568615295955336e-05,6.568615295955336e-05,1.0,0.00308174423635288
2024-09-19,-0.0058788415573781,0.0064626474426395,0,0.9998923059157818,0.0001076940841770034,0.0001076940841770034,1.0,0.0014665173239414798
2024-09-20,0.026061085661644,0.0083899419799388,0,0.999306292410916,0.0006937075890932372,0.0006937075890932372,1.0,0.00388362341298728
2024-09-23,0.0098705704133801,0.0085228526907243,0,0.999831597796803,0.0001684022032202927,0.0001684022032202927,1.0,0.00433563048319024
2024-09-24,-0.0071210854635303,0.0088097098417213,0,0.999905873641766,9.412635818654425e-05,9.412635818654425e-05,1.0,0.00306311998356698
2024-09-25,0.0052520161539863,0.0084491482601798,0,0.9999365268319922,6.347316797485476e-05,6.347316797485476e-05,1.0,0.0056367490416204
2024-09-26,-0.0068832321247655,0.0087333712666769,0,0.9999187076127618,8.129238721870796e-05,8.129238721870796e-05,1.0,0.005435870928142921
2024-09-27,0.0098720881510036,0.0088507370309578,0,0.9998911098672001,0.00010889013280339302,0.00010889013280339302,1.0,0.002198071426014839
2024-09-30,0.0044663557620571,0.0088017235186191,0,0.9999183046718051,8.169532815688125e-05,8.169532815688125e-05,1.0,0.001117228495750239
2024-10-01,0.0080146206071928,0.0087933729476698,0,0.9999098507442546,9.01492557342647e-05,9.01492557342647e-05,1.0,0.004144369709894858
2024-10-02,0.0004909632361917,0.0087441811252187,0,0.9999269520196948,7.304798028422278e-05,7.304798028422278e-05,1.0,0.003192159126335939
2024-10-03,-0.0003683455604767,0.0086837831069174,0,0.999883921310245,0.00011607868974012853,0.00011607868974012853,1.0,0.004495136439193699
2024-10-04,-0.0015975391770675,0.0082293097132508,0,0.9994253316633401,0.0005746683366765373,0.0005746683366765373,1.0,0.002201210973579479
2024-10-07,-0.0232670168807027,0.0100586230562369,0,0.9936425042931655,0.006357495706836422,0.006357495706836422,0.9968212521465818,-0.00334546355497248
2024-10-08,0.0005034581486775,0.0100456534533344,0,0.992787344748038,0.007212655251912922,0.007212655251912922,0.9963936723740435,-0.0048476960466755405
2024-10-09,-0.0085924484616955,0.0103086314186517,0,0.988885522581241,0.011114477418744655,0.011114477418744655,0.9944427612906277,-0.006664378386252981
2024-10-10,-0.0030503960086833,0.0103515955223587,0,0.9830145171330215,0.016985482866991523,0.016985482866991523,0.9915072585665042,-0.0072007884758943
2024-10-11,0.0087447920735637,0.0100700659447995,0,0.9730262650050951,0.026973734994867972,0.026973734994867972,0.986513132502566,-0.00513232222576806
2024-10-14,0.0125393607607997,0.0103034349256155,0,0.9576142174359085,0.042385782564120046,0.042385782564120046,1.0,0.00202895330253242
2024-10-15,0.004475894464913,0.0103219674861536,0,0.9474446824300765,0.05255531756987133,0.05255531756987133,1.0,0.00282344056577952
2024-10-16,0.0196543529308593,0.0108694327591277,0,0.9320949770720844,0.06790502292792286,0.06790502292792286,1.0,0.00847280084429048
2024-10-17,-0.0089193605812938,0.0110154204879257,0,0.9484119973755043,0.051588002624525904,0.051588002624525904,1.0,0.007299007929768381
2024-10-18,0.0057516270089767,0.0095712609507532,0,0.9811567678255269,0.01884323217448001,0.01884323217448001,1.0,0.006700374916850981
2024-10-21,-0.0039124480310058,0.0094314037070118,0,0.9899767648497694,0.010023235150226165,0.010023235150226165,1.0,0.00341001315848988
2024-10-22,-0.0035589783306859,0.0093067030043495,0,0.990081008524502,0.009918991475508286,0.009918991475508286,1.0,0.0018030385993700999
2024-10-23,0.009543864615294,0.0094586123012723,0,0.98050532841385,0.019494671586107844,0.019494671586107844,0.990252664206946,-0.0002190590637429598
2024-10-24,-0.0064751779239048,0.0094406922854027,0,0.9498302782853945,0.05016972171457626,0.05016972171457626,1.0,0.0002697774677348403
2024-10-25,-0.0149411505890392,0.0098641744283446,0,0.8110732906882587,0.18892670931174635,0.18892670931174635,0.9055366453441268,-0.0038687780518683393
2024-10-28,0.0078072658927267,0.0099719343610401,0,0.5887143877200054,0.41128561228002647,0.41128561228002647,0.7943571938599867,-0.0015248352671218394
2024-10-29,-0.0215869272976494,0.0108959563939864,1,0.16290521619911497,0.8370947838009111,0.8370947838009111,0.5814526080995445,-0.0051304250605145405
2024-10-30,-0.0023993330312372,0.010889588453773,1,0.07799528251826171,0.9220047174817546,0.9220047174817546,0.5389976412591226,-0.00751906458982078
2024-10-31,0.0103147944975375,0.0112045722442246,1,0.013680612305503997,0.9863193876944454,0.9863193876944454,0.5068403061527773,-0.00416107010553232
2024-11-01,-0.0225269828480559,0.0122014313930978,1,0.0003340889884311342,0.999665911011597,0.999665911011597,0.5001670444942015,-0.00567823655733566
2024-11-04,-0.011974756165617,0.0114002281717072,1,0.0001831740120915692,0.999816825987914,0.999816825987914,0.500091587006043,-0.009634640969004401
2024-11-05,0.0149141900903506,0.0119700357200167,1,1.5819879380293497e-05,0.9999841801206576,0.9999841801206576,0.5000079099396713,-0.0023344174914044
2024-11-06,-0.0103908298570915,0.0120389249901417,1,4.109955272094708e-05,0.9999589004472984,0.9999589004472984,0.5000205497763508,-0.00393271685657526
2024-11-07,0.0018037731619218,0.0120400888047873,1,3.788664672538707e-05,0.9999621133532749,0.9999621133532749,0.5000189433233626,-0.0056349211236984
2024-11-08,0.0189971443399203,0.0126592854371523,1,1.0666308207399395e-06,0.9999989333691706,0.9999989333691706,1.0,0.0026699043138968407
2024-11-11,0.0027746590455751,0.0123325104334468,1,1.784549395460274e-05,0.9999821545060997,0.9999821545060997,1.0,0.00561978735613526
2024-11-12,-0.0115271152300297,0.0125083567558943,1,1.805430565791974e-05,0.9999819456942982,0.9999819456942982,1.0,0.00033152629205920084
2024-11-13,-0.0017853719805955,0.0114925417836157,1,0.00016435067210601755,0.9998356493279383,0.9998356493279383,1.0,0.002052617867358401
2024-11-14,-0.0034519338325243,0.0113940231248751,1,0.00019192833250957384,0.9998080716674514,0.9998080716674514,1.0,0.0010014764684691806
2024-11-15,0.0148734388898554,0.011897610595928,1,1.818423429010833e-05,0.9999818157656709,0.9999818157656709,1.0,0.00017673537845620048
2024-11-18,0.0086688841611394,0.0121039081298308,1,1.8966519796824992e-05,0.9999810334801537,0.9999810334801537,1.0,0.0013555804015690607
2024-11-19,0.0063594919441962,0.0121983502648119,1,2.0166425863118458e-05,0.9999798335741892,0.9999798335741892,1.0,0.004932901836414241
2024-11-20,0.0004972374516444,0.0119699445765916,1,4.5074877353718406e-05,0.9999549251226626,0.9999549251226626,1.0,0.0053894237228622206
2024-11-21,0.0172438480919552,0.012559664364994,1,2.0349026018744122e-06,0.9999979650973742,0.9999979650973742,1.0,0.00952858010775812
2024-11-22,-0.0053876115570446,0.0121284281561867,1,4.06726393913349e-05,0.9999593273606394,0.9999593273606394,1.0,0.00547637001837812
2024-11-25,0.0018401469234714,0.0120162606361085,1,8.674948361296306e-05,0.9999132505163623,0.9999132505163623,1.0,0.00411062257084452
2024-11-26,0.0158057646134842,0.0113095233240778,1,0.0006060462811331091,0.9993939537188989,0.9993939537188989,1.0,0.00599987710470212
2024-11-27,0.0,0.0112704632891343,1,0.00696974884995432,0.9930302511500038,0.9930302511500038,1.0,0.00590042961437324
2024-11-29,0.0003616687300849,0.0111191024098948,1,0.023445952739742978,0.9765540472602791,0.9765540472602791,1.0,0.00252399374199918
2024-12-02,-0.0216975762842144,0.01102452542723,1,0.05708027819686772,0.9429197218031501,0.9429197218031501,0.528540139098425,-0.0007379992034347804
2024-12-03,-0.0086634779693811,0.0108283688186876,1,0.2638766649769468,0.7361233350230948,0.7361233350230948,0.6319383324884527,-0.0028387241820052806
2024-12-04,-0.0001243234137504,0.0104026962893857,0,0.543585869197521,0.45641413080250404,0.45641413080250404,0.771792934598748,-0.006024741787452201
2024-12-05,0.0031032617277729,0.010034966498885,0,0.7252483478618637,0.27475165213812575,0.27475165213812575,0.8626241739309372,-0.005404089441897621
2024-12-06,-0.0124704558056086,0.0105432408610956,0,0.8030701369104336,0.19692986308951743,0.19692986308951743,0.9015350684552412,-0.007970514349036322
2024-12-09,-0.0126281350660741,0.0101073010069177,0,0.8915254317895065,0.10847456821043848,0.10847456821043848,0.9457627158947808,-0.006156626105408261
