Date,PEP_ret,PEP_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2018-03-21,-0.0106112192633819,0.0085583702048069,0,0.9999586586569578,4.1341342886128774e-05,4.1341342886128774e-05,0.9999793293285569,-0.006994140499256757
2018-03-22,-0.0073841444796418,0.0083368881715392,0,0.9999640289937392,3.5971006296742545e-05,3.5971006296742545e-05,0.9999820144968516,-0.0073668111905521565
2018-03-23,-0.0167223647064626,0.0090452207074063,0,0.9998918776349036,0.00010812236515095702,0.00010812236515095702,0.9999459388174246,-0.010085266805213797
2018-03-26,0.0061985153462775,0.0087294066908498,0,0.9999710937112197,2.8906288380921574e-05,2.8906288380921574e-05,0.9999855468558095,-0.006539163677253916
2018-03-27,0.0077409016811825,0.0089714662854307,0,0.9999707616607199,2.923833963256928e-05,2.923833963256928e-05,0.9999853808301837,-0.004155662284405257
2018-03-28,0.0142054622437791,0.009305464645358,0,0.9999418189236315,5.818107668884643e-05,5.818107668884643e-05,1.0,0.0008076740170269426
2018-03-29,-0.0002749931501674,0.0091366011987301,0,0.9999650626123723,3.4937387730228025e-05,3.4937387730228025e-05,1.0,0.0022295042829218225
2018-04-02,-0.0194266190779322,0.0099451246620517,0,0.9997602949644674,0.0002397050351858482,0.0002397050351858482,1.0,0.001688653408627902
2018-04-03,0.0105927513588795,0.0102318743298815,0,0.9999026092498293,9.73907502270832e-05,9.73907502270832e-05,1.0,0.002567500611148302
2018-04-04,0.0182263813946496,0.0110607428012829,0,0.9997711903063089,0.00022880969374552553,0.00022880969374552553,1.0,0.0046645965538417225
2018-04-05,0.0035336198134343,0.0110754064165628,0,0.999935234050209,6.476595006508938e-05,6.476595006508938e-05,1.0,0.002530228067772763
2018-04-06,-0.0115526314248733,0.0103292343400967,0,0.9999314906575939,6.850934213878696e-05,6.850934213878696e-05,1.0,0.00027470041283158273
2018-04-09,0.0007315515172421,0.010264697416559,0,0.9999694800509041,3.051994865857806e-05,3.051994865857806e-05,1.0,0.0043063345318664435
2018-04-10,0.0001828042899448,0.0102432073616535,0,0.9999717399387558,2.8260061414959192e-05,2.8260061414959192e-05,1.0,0.0022243451180795027
