Date,ETHA_ret,ETHA_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-08-20,-0.0030365090434715,0.0631257395607691,1,2.4860135375745646e-62,1.0,1.0,0.5,
2024-08-21,0.017583994190908,0.0634174162495526,1,4.788194549419184e-09,0.9999999952118515,0.9999999952118515,0.5000000023940743,
2024-08-22,-0.0160645871212186,0.0617784902545277,1,1.0817374305955782e-08,0.9999999891825838,0.9999999891825838,0.5000000054087081,
2024-08-23,0.0541737749292381,0.062084364865668,1,1.4891742742021737e-08,0.9999999851082749,0.9999999851082749,0.5000000074458626,
2024-08-26,-0.0257358549445698,0.0620292611219507,1,7.710415961336593e-09,0.9999999922895313,0.9999999922895313,1.0,0.005384163602177239
2024-08-27,-0.0365680381882662,0.0623015643932279,1,5.178281070556883e-09,0.9999999948216782,0.9999999948216782,0.5000000025891609,-0.0013221422267817007
2024-08-28,-0.031090606532772,0.0623922972917337,1,5.35207958416385e-09,0.9999999946479647,0.9999999946479647,0.5000000026760176,-0.011057062371517701
2024-08-29,0.0083857854123966,0.062166370491848,1,1.111957221086174e-08,0.9999999888804042,0.9999999888804042,0.500000005559798,-0.006166987864794662
2024-08-30,-0.0078595960384238,0.0618084553077009,1,1.2105311571594166e-05,0.9999878946884437,0.9999878946884437,0.5000060526557781,-0.018573662058327042
2024-09-03,-0.025034559021511,0.0359473679684764,0,0.9981223526281202,0.0018776473718255856,0.0018776473718255856,0.9990611763140872,-0.018433402873715282
2024-09-04,0.0032309917093781,0.0349890540235267,0,0.9999971347319965,2.865267973726195e-06,2.865267973726195e-06,0.9999985673660131,-0.010473596894186423
2024-09-05,-0.0372441894240214,0.0334085181182618,0,0.999999607732511,3.9226746602460797e-07,3.9226746602460797e-07,0.999999803866267,-0.011704313472436303
2024-09-06,-0.0627544081347556,0.0286955492430082,0,0.9999999755974617,2.4402516577499157e-08,2.4402516577499157e-08,0.9999999877987418,-0.025932352181866743
2024-09-09,0.0582801320354928,0.0321589619915791,0,0.9999997138973368,2.8610262120198976e-07,2.8610262120198976e-07,0.9999998569486894,-0.01270440656708342
2024-09-10,0.012256382712546,0.0316015274101595,0,0.9999998698629127,1.301370842689707e-07,1.301370842689707e-07,0.9999999349314579,-0.0052462182202720215
2024-09-11,-0.0173140024961174,0.0311494332730278,0,0.9999999085026772,9.14973424153264e-08,9.14973424153264e-08,0.9999999542513288,-0.00935521706137112
2024-09-12,0.0089736916314919,0.0312839016009057,0,0.9999998942267949,1.0577317040362408e-07,1.0577317040362408e-07,0.9999999471134148,-0.00011164085026846155
2024-09-13,0.0264477978739942,0.0306526372737721,0,0.9999999178105587,8.218941562684035e-08,8.218941562684035e-08,1.0,0.017728800351481496
2024-09-16,-0.0651549814549009,0.032798095549068,0,0.999999668753558,3.312464410750794e-07,3.312464410750794e-07,0.9999998343767795,-0.006958222346597242
2024-09-17,0.0347911117329859,0.0341175336360251,0,0.999999311921338,6.880787060199248e-07,6.880787060199248e-07,0.999999655960647,-0.002451276542509262
2024-09-18,-0.0169590965644187,0.0342132557132187,0,0.999999392061298,6.079386877511825e-07,6.079386877511825e-07,0.9999996960306561,-0.002380295356169522
2024-09-19,0.0624339224994996,0.0371740571389467,0,0.999994194607919,5.805392086770985e-06,5.805392086770985e-06,1.0,0.008311750817432018
2024-09-20,0.0326689127388006,0.0379067761497222,0,0.9999931932636366,6.806736377212103e-06,6.806736377212103e-06,1.0,0.009555973790393298
2024-09-23,0.0500483382023637,0.0375995563349098,0,0.9999934798897777,6.520110187234866e-06,6.520110187234866e-06,1.0,0.03259663772184622
2024-09-24,-0.0089153785376183,0.0372129294492421,0,0.9999960426883803,3.957311596587038e-06,3.957311596587038e-06,1.0,0.02385533966772537
2024-09-25,-0.0308183322677063,0.0369414026542247,0,0.9999964125422142,3.5874578410214962e-06,3.5874578410214962e-06,1.0,0.021083492527067857
2024-09-26,0.0313157323592925,0.0368375679981586,0,0.999996515147633,3.484852332716058e-06,3.484852332716058e-06,1.0,0.014859854499026437
2024-09-27,0.018719716945182,0.0369916167906212,0,0.9999964079531477,3.592046818136501e-06,3.592046818136501e-06,1.0,0.012070015340302716
2024-09-30,-0.0408423148007283,0.0382323211444374,0,0.9999910302727644,8.969727270667242e-06,8.969727270667242e-06,0.9999955151363646,-0.006108115260315685
2024-10-01,-0.0420513267121277,0.0390395757080627,0,0.9999841304923645,1.586950758114372e-05,1.586950758114372e-05,0.9999920652462094,-0.012735304895217564
2024-10-02,-0.0477833059836652,0.0405148850425135,0,0.9999562876646328,4.371233531051336e-05,4.371233531051336e-05,0.9999781438323447,-0.016128299638409345
2024-10-03,-0.0083775759877862,0.0396875393321484,0,0.9999801358808802,1.986411908828408e-05,1.986411908828408e-05,0.9999900679404559,-0.024066961307825086
2024-10-04,0.0330973606442901,0.037467963482617,0,0.9999947396240374,5.260375954578408e-06,5.260375954578408e-06,0.9999973698120227,-0.02119143256800346
2024-10-07,0.0059508212785279,0.035281034179656,0,0.9999988095936752,1.190406352563702e-06,1.190406352563702e-06,0.9999994047968237,-0.011832805352152226
2024-10-08,-0.0027005764985511,0.0352089479545951,0,0.9999988823977325,1.1176022910045747e-06,1.1176022910045747e-06,0.9999994411988544,-0.003962655309436904
2024-10-09,-0.0092366904324336,0.0350315674135651,0,0.9999990000559816,9.999439629980915e-07,9.999439629980915e-07,1.0,0.003746667800809416
2024-10-10,-0.0226341350350005,0.0353915937507813,0,0.9999987143030774,1.2856969617195762e-06,1.2856969617195762e-06,1.0,0.0008953559913665567
2024-10-11,0.0410229796890091,0.0361076681680314,0,0.9999975922120822,2.4077878830981955e-06,2.4077878830981955e-06,1.0,0.002480479800310357
