Date,SLV_ret,SLV_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-08-20,0.0014897922665725,0.0201499949910282,0,1.0,6.530478498047042e-56,1.0,0.5,
2024-08-21,0.002972871803948,0.0200238887310855,0,0.9999999424135256,5.75865182548393e-08,0.9999999424135256,0.5000000287932371,
2024-08-22,-0.0209981982773528,0.0184355200244928,0,0.9999953789199387,4.621080010429163e-06,0.9999953789199387,0.5000023105400306,
2024-08-23,0.0302318739641011,0.0194964825827209,0,0.9999999379049332,6.209509592221868e-08,0.9999999379049332,0.5000000310475334,
2024-08-26,0.0044020221809768,0.0194642066973561,0,0.9999996403110537,3.596889855163131e-07,0.9999996403110537,1.0,0.00361967238764912
2024-08-27,0.0014630915303479,0.0192729898857652,0,0.9999993046150311,6.953849861294825e-07,0.9999993046150311,1.0,0.0036143322404042
2024-08-28,-0.0247931316364357,0.019696860963216,0,0.9999999136251783,8.637481594291109e-08,0.9999999136251783,0.5000000431874109,-0.00193886844767254
2024-08-29,0.0044859489016928,0.0194200457313787,0,0.9999995870642522,4.129357756597345e-07,0.9999995870642522,1.0,0.00315796098813658
2024-08-30,-0.0173066428633769,0.0198700804373894,0,0.9999999237441017,7.62558730113307e-08,0.9999999237441017,0.5000000381279491,-0.006349742377359019
2024-09-03,-0.0296574962962664,0.0180596535032029,0,0.9999930246618748,6.975338077999056e-06,0.9999930246618748,0.5000034876690627,-0.013161646072807658
2024-09-04,0.0039016975374181,0.0179008691216866,0,0.9999668238393554,3.317616070027509e-05,0.9999668238393554,0.5000165880803222,-0.012673924871393622
2024-09-05,0.021191285721317,0.0180349124783948,0,0.9999886414826076,1.1358517400329954e-05,0.9999886414826076,0.5000056792586962,-0.00347704139984308
2024-09-06,-0.0290099636885141,0.0185344507145907,0,0.9999979521839399,2.047816048488822e-06,0.9999979521839399,0.50000102390803,-0.01017622391788446
2024-09-09,0.0144168029731321,0.0187730391935783,0,0.999997868132708,2.131867300118552e-06,0.999997868132708,0.500001065933646,-0.0038315347505826587
2024-09-10,0.0034755837649989,0.0183130833940093,0,0.99998867929408,1.132070593265918e-05,0.99998867929408,1.0,0.0027950812616704
2024-09-11,0.0069151370616591,0.0183398958683887,0,0.9999902706949023,9.729305109849693e-06,0.9999902706949023,1.0,0.0033977691665185994
2024-09-12,0.0430858771056981,0.0202852995912174,0,0.9999999992287485,7.713046610384764e-10,0.9999999992287485,1.0,0.00777668744339482
2024-09-13,0.0271313436020505,0.0201920939169569,0,0.9999999924621079,7.537921960450004e-09,0.9999999924621079,1.0,0.01900494890150774
2024-09-16,0.0017828222559418,0.0197551973478001,0,0.9999998547390411,1.4526092744549554e-07,0.9999998547390411,1.0,0.01647815275806968
2024-09-17,-0.0039264948804094,0.019602623652595,0,0.9999997507631262,2.4923690549372785e-07,0.9999997507631262,1.0,0.014997737028988017
2024-09-18,-0.0260884117425317,0.0205901405181181,0,0.9999999964090875,3.5909177637459757e-09,0.9999999964090875,1.0,0.00839702726814986
2024-09-19,0.0307271736693648,0.0216600203866947,0,0.999999999984766,1.5251924219856902e-11,0.999999999984766,1.0,0.005925286580883199
2024-09-20,0.0113275439469151,0.0210452993039069,0,0.9999999990557171,9.442336174757712e-10,0.9999999990557171,1.0,0.00276452664985612
2024-09-23,-0.0152512376182282,0.0204757259769723,0,0.9999999902242962,9.775657961550458e-09,0.9999999902242962,0.5000000048878519,-0.0006422853249778801
