Date,FXI_ret,FXI_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-08-20,-0.0228147196602721,0.0133585055876446,0,1.0,6.984449636951749e-29,6.984449636951749e-29,1.0,
2024-08-21,0.010331050770727,0.0132730743455942,0,0.9999922386868924,7.761313152485965e-06,7.761313152485965e-06,0.9999961193434237,
2024-08-22,-0.0076424408634332,0.0130738434465188,0,0.9999916079705985,8.392029406076653e-06,8.392029406076653e-06,0.999995803985297,
2024-08-23,0.0156044819079395,0.0134394271191513,0,0.9999885644724762,1.1435527540836163e-05,1.1435527540836163e-05,0.9999942822362295,
2024-08-26,-0.0079620410445064,0.0136175829258913,0,0.9999892962728025,1.070372714363261e-05,1.070372714363261e-05,0.9999946481364281,-0.0024967337779090407
2024-08-27,0.0109786305207012,0.0135477215871348,0,0.9999904040141686,9.595985864476027e-06,9.595985864476027e-06,1.0,0.00426193625828562
2024-08-28,-0.0159395188839131,0.0138595910431871,0,0.9999776811496117,2.2318850408055738e-05,2.2318850408055738e-05,0.999988840574796,-0.0009921776726424
2024-08-29,0.0072422549032196,0.0134596372234988,0,0.9999919184656668,8.08153433787675e-06,8.08153433787675e-06,1.0,0.00198476148068816
2024-08-30,0.0049251031421476,0.013379555472374,0,0.9999923205530616,7.679446948598827e-06,7.679446948598827e-06,0.9999961602765257,-0.00015111427247021993
2024-09-03,-0.0175375204528822,0.0139731418208796,0,0.9999720666803261,2.7933319713643104e-05,2.7933319713643104e-05,0.9999860333401431,-0.0020662101541453802
2024-09-04,-0.000769602048984,0.0137075002719915,0,0.9999910177061615,8.982293789924054e-06,8.982293789924054e-06,0.9999955088531051,-0.00441585666808242
2024-09-05,-0.0050163266028304,0.0137950569334766,0,0.9999899328210786,1.006717887624418e-05,1.006717887624418e-05,0.9999949664105618,-0.0022312182118658804
2024-09-06,-0.0136322065937419,0.013190524245617,0,0.9999867918176361,1.3208182312066783e-05,1.3208182312066783e-05,0.999993395908844,-0.006406110511258181
2024-09-09,0.0007840052143747,0.0131860920263179,0,0.9999932763200635,6.723679954142458e-06,6.723679954142458e-06,0.9999966381600229,-0.007234330096812761
2024-09-10,-0.0023538620486522,0.0130695867442542,0,0.9999933179678205,6.6820322012931115e-06,6.6820322012931115e-06,0.9999966589838993,-0.00419759841596676
2024-09-11,0.0101602920570464,0.0132127959443865,0,0.9999923341559285,7.665844104459499e-06,7.665844104459499e-06,0.9999961670779478,-0.00201161959476068
2024-09-12,-0.0003889547399877,0.012467324788953,0,0.9999946117057666,5.3882942372047515e-06,5.3882942372047515e-06,0.9999973058528814,-0.0010861452221921399
2024-09-13,0.0058174979361819,0.0116652307473658,0,0.9999951097691083,4.890230904512865e-06,4.890230904512865e-06,1.0,0.00280379568379262
2024-09-16,0.0057836214098398,0.0107924253218517,0,0.9999951061130712,4.89388689665657e-06,4.89388689665657e-06,1.0,0.0038037189228856405
2024-09-17,0.0126077503330888,0.0109879572471841,0,0.9999932544339031,6.745566046789501e-06,6.745566046789501e-06,1.0,0.0067960413992338405
2024-09-18,-0.0057111049391083,0.0097555585319854,0,0.9999854517610471,1.4548238942259738e-05,1.4548238942259738e-05,1.0,0.0036217620000029
2024-09-19,0.0352624182683776,0.0123453029596111,0,0.9995876816481934,0.00041231835184000267,0.00041231835184000267,1.0,0.01075203660167596
2024-09-20,0.000736918685295,0.012155477579504,0,0.9988933666006075,0.0011066333993417618,0.0011066333993417618,1.0,0.009735920751498579
2024-09-23,0.0193331294726849,0.0124007569846685,0,0.9566694319819348,0.04333056801807923,0.04333056801807923,1.0,0.012445822364067601
2024-09-24,0.0937324799267601,0.023704737004911,1,8.654996970727694e-13,0.9999999999990905,0.9999999999990905,1.0,0.02867076828280186
2024-09-25,-0.0280204715210128,0.0249572181113146,1,4.6507270839933945e-11,0.9999999999535021,0.9999999999535021,1.0,0.02420889496642096
2024-09-26,0.0768106294732835,0.0290711404419261,1,1.3279714455493812e-18,1.0,1.0,1.0,0.032518537207402144
