Date,BND_ret,BND_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2015-02-02,-0.0011891005137408,0.0023246562638838,0,1.0,9.588313015346101e-82,9.588313015346101e-82,1.0,
2015-02-03,-0.003095970018631,0.0024446259706285,0,0.9999901345913769,9.865408408710801e-06,9.865408408710801e-06,0.9999950672957956,
2015-02-04,0.0003573201203309,0.0023878498691448,0,0.9999818734965042,1.8126503417027403e-05,1.8126503417027403e-05,0.9999909367482915,
2015-02-05,-0.0021490767481244,0.0024617100243475,0,0.9998085973601141,0.0001914026400713268,0.0001914026400713268,0.9999042986799643,
2015-02-06,-0.0064745170458785,0.002877153585611,0,0.9986291803550448,0.0013708196448204855,0.0013708196448204855,0.9993145901775897,-0.0025102688412087597
2015-02-09,-0.0003611051209965,0.0028559724615548,0,0.9994847185512861,0.0005152814488065564,0.0005152814488065564,0.9997423592755967,-0.0023446697626599
2015-02-10,-0.0018066047199629,0.002868120185202,0,0.9997646577872092,0.0002353422125613334,0.0002353422125613334,0.9998823288937193,-0.00208679670292628
2015-02-11,0.0,0.0028573003331331,0,0.9999120590708523,8.794092880775947e-05,8.794092880775947e-05,0.9999560295355961,-0.0021582607269924597
2015-02-12,0.0004816242303168,0.0028045159826273,0,0.9999622372597378,3.7762740436738346e-05,3.7762740436738346e-05,0.9999811186297816,-0.0016321205313042197
2015-02-13,-0.0022923797042797,0.002611829473081,0,0.9999704837273042,2.9516272369955027e-05,2.9516272369955027e-05,0.9999852418638151,-0.00079569306298446
2015-02-17,-0.0039930931008986,0.0026697969524518,0,0.9999430634991284,5.693650072449287e-05,5.693650072449287e-05,0.9999715317496378,-0.0015220906589648799
2015-02-18,0.0027854217769307,0.0027737177212327,0,0.9999590357706919,4.096422910845389e-05,4.096422910845389e-05,0.9999795178854458,-0.0006036853595861597
2015-02-19,-0.0008466610564477,0.0027539886444717,0,0.9999804823814205,1.9517618208435208e-05,1.9517618208435208e-05,0.9999902411908959,-0.0007730175708756998
2015-02-20,0.0002416160595134,0.0027540072261361,0,0.9999823146590187,1.768534068065914e-05,1.768534068065914e-05,0.9999911573296596,-0.0008210192050363798
2015-02-23,0.0020546544877839,0.0026844779935013,0,0.9999640666209106,3.593337908510145e-05,3.593337908510145e-05,1.0,4.838763337634009e-05
2015-02-24,0.0040976272350325,0.0028617207980005,0,0.9998921907128392,0.00010780928678543248,0.00010780928678543248,1.0,0.00166653170056256
2015-02-25,0.0009610863507299,0.0028680693925212,0,0.9999395307552544,6.0469244452766894e-05,6.0469244452766894e-05,1.0,0.0013016646153224
2015-02-26,-0.0027670761070713,0.0027820790744081,0,0.9999540508931625,4.5949107104828373e-05,4.5949107104828373e-05,1.0,0.0009175816051976799
2015-02-27,0.0008431634927746,0.0027935657525885,0,0.9999781439861309,2.185601375976213e-05,2.185601375976213e-05,1.0,0.0010378910918499198
2015-03-02,-0.0032379872051546,0.0024960920280507,0,0.9999855355972799,1.4464402720075047e-05,1.4464402720075047e-05,0.99999276779864,-2.0637246737780034e-05
2015-03-03,-0.0012099605811917,0.0024962589250813,0,0.9999949272415932,5.072758701517576e-06,5.072758701517576e-06,0.9999974636206492,-0.00108215480998262
2015-03-04,0.0,0.0024431608347721,0,0.999995684512431,4.315487876919982e-06,4.315487876919982e-06,0.9999978422560616,-0.0012743720801286
2015-03-05,0.0006051003314109,0.0024492426783263,0,0.9999800089242027,1.9991075688629354e-05,1.9991075688629354e-05,0.9999900044621557,-0.0005999367924321598
2015-03-06,-0.0058286423485673,0.0026935211441451,0,0.9997950086323726,0.00020499136760735018,0.00020499136760735018,0.9998975043161964,-0.0019342979607005401
2015-03-09,0.0012174953096337,0.0023767848142215,0,0.9999739875893249,2.601241108379689e-05,2.601241108379689e-05,0.9999869937944581,-0.00104320145774288
2015-03-10,0.0038843904395029,0.0025673506490656,0,0.9999752341383984,2.4765861660696198e-05,2.4765861660696198e-05,0.9999876170691697,-2.4331253603959974e-05
2015-03-11,0.001089527839509,0.0025560194568755,0,0.9999932053436904,6.79465627646937e-06,6.79465627646937e-06,1.0,0.00019357431429784005
2015-03-12,0.0007269088644661,0.0025626116157587,0,0.9999954663101561,4.533689412423664e-06,4.533689412423664e-06,1.0,0.00021793602090888005
2015-03-13,-0.0009689305911415,0.002567017921697,0,0.9999947899231512,5.2100764211176895e-06,5.2100764211176895e-06,1.0,0.00118987837239404
2015-03-16,0.0019352268440287,0.0025537757044849,0,0.9999903570934473,9.642906493208813e-06,9.642906493208813e-06,1.0,0.00133342467927304
2015-03-17,0.0008454031123232,0.0023702513880403,0,0.9999681369901302,3.186301000545981e-05,3.186301000545981e-05,1.0,0.0007256272138371001
2015-03-18,0.0061377624776688,0.0026550882515119,0,0.9996266768581653,0.0003733231417651045,0.0003733231417651045,1.0,0.00173527414146906
2015-03-19,-0.0030042491841995,0.002754198431696,0,0.9997919233005469,0.00020807669923844603,0.00020807669923844603,1.0,0.0009890425317359403
2015-03-20,0.002644674845945,0.0027998297258269,0,0.9998980008021667,0.00010199919738833849,0.00010199919738833849,1.0,0.00171176361915324
2015-03-23,0.0004789878198041,0.002775886415524,0,0.9999678239857277,3.2176014039585424e-05,3.2176014039585424e-05,1.0,0.0014205158143083202
2015-03-24,0.001678950323571,0.002657512616846,0,0.9999856819747076,1.4318025381886005e-05,1.4318025381886005e-05,1.0,0.0015872252565578802
2015-03-25,-0.0015583659126061,0.0026841858464846,0,0.9999858577147774,1.4142284997273561e-05,1.4142284997273561e-05,1.0,4.7999578502900185e-05
