Date,JPM_ret,JPM_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2019-12-27,0.0007190034917901,0.009653296480497,1,2.5892198647652674e-05,0.9999741078013957,2.5892198647652674e-05,1.0,0.002589631188073018
2019-12-30,-0.0036718865670145,0.0096954885046749,1,2.738370694052862e-05,0.9999726162934635,2.738370694052862e-05,1.0,0.002015425295754818
2019-12-31,0.0055391768956598,0.0096505381472655,1,2.806557800095279e-05,0.999971934422354,2.806557800095279e-05,1.0,0.0031816225411748986
2020-01-02,0.012050131635511,0.0090895097964444,1,4.375545923369053e-05,0.9999562445405539,4.375545923369053e-05,1.0,0.005038447180966578
2020-01-03,-0.0132841511940056,0.0091336273187265,1,5.682233166489231e-05,0.99994317766878,5.682233166489231e-05,1.0,0.00027045485238815815
2020-01-06,-0.0007954851947463,0.0091360010197495,1,3.3180072454929254e-05,0.9999668199272937,3.3180072454929254e-05,0.9999834099637726,-3.244288491912185e-05
2020-01-07,-0.017146673419905,0.009604952684909,1,7.738000867475325e-05,0.9999226199915245,7.738000867475325e-05,0.9999613099956626,-0.002727400255497222
2020-01-08,0.0077706606200914,0.0096461943495897,1,3.244945810540756e-05,0.9999675505422487,3.244945810540756e-05,0.9999837752709473,-0.0022811035106109017
2020-01-09,0.0036445753325338,0.0096596624940028,1,2.693875738570819e-05,0.9999730612425657,2.693875738570819e-05,0.9999865306213072,-0.003962214771206342
2020-01-10,-0.010017807977701,0.0099631828179266,1,3.910569668143419e-05,0.9999608943032754,3.910569668143419e-05,0.9999804471516593,-0.0033089461279454217
2020-01-13,0.0082699416627453,0.0078773992634581,1,5.2261329853463215e-05,0.9999477386705358,5.2261329853463215e-05,0.9999738693350733,-0.0014958607564471015
2020-01-14,0.0115945242343924,0.0079940863490965,1,6.357845254538537e-05,0.9999364215476161,6.357845254538537e-05,1.0,0.004252378774412378
2020-01-15,-0.0150987945145821,0.0087321733666642,1,7.704805524883349e-05,0.9999229519450997,7.704805524883349e-05,0.9999614759723756,-0.0003215122525223213
