Date,EWU_ret,EWU_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-08-20,-0.0084619820571005,0.0105406838337578,0,1.0,1.926573285041706e-41,1.926573285041706e-41,1.0,
2024-08-21,0.0100915146332381,0.0106156256405346,0,0.9999999107514026,8.924857106157908e-08,8.924857106157908e-08,0.9999999553757144,
2024-08-22,-0.0019014347582227,0.0106230782266312,0,0.9999998404951057,1.595048806914666e-07,1.595048806914666e-07,0.9999999202475597,
2024-08-23,0.0167165302432622,0.0107881604175129,0,0.9999996616907655,3.383092120428182e-07,3.383092120428182e-07,0.9999998308453939,
2024-08-26,-0.0005348968295107,0.01072738387778,0,0.9999998099252888,1.9007475030140993e-07,1.9007475030140993e-07,1.0,0.0031819462463332803
2024-08-27,0.0061341606865184,0.010746647343789,0,0.9999998704157718,1.2958423995483684e-07,1.2958423995483684e-07,1.0,0.006101174795057061
2024-08-28,-0.0061341606865185,0.0107138013365319,0,0.9999995295324849,4.704674943630327e-07,4.704674943630327e-07,1.0,0.0028560397311057405
2024-08-29,0.0050700588565195,0.0098364848979097,0,0.999999993150368,6.8496563455644365e-09,6.8496563455644365e-09,1.0,0.00425033845405418
2024-08-30,-0.0010653432893358,0.0097000759003352,0,0.9999999924491476,7.550898208901601e-09,7.550898208901601e-09,1.0,0.0006939637475345802
2024-09-03,-0.0193709741782486,0.0082945385260068,0,0.9999999582362316,4.176375483531813e-08,4.176375483531813e-08,0.9999999791181227,-0.0030732517222129994
2024-09-04,0.0018998864793738,0.0083002034745855,0,0.9999999998477733,1.5220233550647663e-10,1.5220233550647663e-10,0.9999999999238989,-0.003920106563641919
2024-09-05,0.0,0.0083295482635123,0,0.9999999998030944,1.969454629485684e-10,1.969454629485684e-10,0.9999999999015272,-0.0026932744263382198
2024-09-06,-0.010631203236672,0.0084815683751033,0,0.9999999975035507,2.4964859229591695e-09,2.4964859229591695e-09,0.999999998751757,-0.00583352684497652
2024-09-09,0.0065555415581206,0.0084981757031561,0,0.9999999998093472,1.9060601620751292e-10,1.9060601620751292e-10,0.999999999904697,-0.0043093498754852395
2024-09-10,-0.0060076020250809,0.0086695988177213,0,0.9999999988248192,1.1751959967385863e-09,1.1751959967385863e-09,0.999999999412402,-0.0016366754448517
2024-09-11,0.0032814577291135,0.0082564685079467,0,0.9999999998751719,1.2483795135100038e-10,1.2483795135100038e-10,0.999999999937581,-0.0013603611949037596
2024-09-12,0.0043584468745433,0.0082661315759165,0,0.9999999998797193,1.20291155029989e-10,1.20291155029989e-10,0.9999999999398544,-0.0004886718199951
2024-09-13,0.0029855058022037,0.0080433377124424,0,0.9999999999187139,8.12762758299096e-11,8.12762758299096e-11,1.0,0.0022346699877800404
2024-09-16,0.0107817723657134,0.0083593013830232,0,0.9999999998434532,1.5655048803876227e-10,1.5655048803876227e-10,1.0,0.0030799161492986006
2024-09-17,-0.0072650197997546,0.008383591728999,0,0.9999999991865707,8.134401223416838e-10,8.134401223416838e-10,1.0,0.0028284325943638603
2024-09-18,-0.0010807779018194,0.0081351963630523,0,0.9999999998510702,1.4894959007313783e-10,1.4894959007313783e-10,1.0,0.0019559854681772803
2024-09-19,0.0134267029873665,0.0083687957149126,0,0.9999999997995701,2.0038652658260033e-10,2.0038652658260033e-10,1.0,0.0037696366907419205
2024-09-20,-0.0120758583400108,0.0088414455627476,0,0.9999999908947075,9.105259864179764e-09,9.105259864179764e-09,1.0,0.0007573638622990205
2024-09-23,0.0091374061179678,0.0082454727339219,0,0.9999999998875637,1.1246099970071562e-10,1.1246099970071562e-10,1.0,0.0004284906127498999
2024-09-24,0.0040047155671837,0.0082930936455367,0,0.9999999998702833,1.2973184616723694e-10,1.2973184616723694e-10,1.0,0.00268243768613756
2024-09-25,-0.0058791651305149,0.0082757231924245,0,0.9999999995317239,4.682597251633398e-10,4.682597251633398e-10,1.0,0.00172276024039846
2024-09-26,0.0093370934128368,0.0084331426935711,0,0.9999999998283329,1.7165193069674838e-10,1.7165193069674838e-10,1.0,0.0009048383254925202
2024-09-27,0.0002655495032302,0.008360421503331,0,0.9999999997955911,2.04441861082335e-10,2.04441861082335e-10,1.0,0.0033731198941407206
2024-09-30,-0.0069260095064978,0.008506070375396,0,0.9999999990112656,9.887324764621626e-10,9.887324764621626e-10,1.0,0.0001604367692476006
2024-10-01,-0.001872945104668,0.0072303434525199,0,0.9999999999686224,3.133282736053043e-11,3.133282736053043e-11,0.9999999999843336,-0.0010150953651227395
2024-10-02,-0.0026815492478848,0.0072633199335528,0,0.9999999999624833,3.7535348055238575e-11,3.7535348055238575e-11,0.9999999999812323,-0.0003755721885967195
2024-10-03,-0.0110707706862108,0.007710377808211,0,0.9999999994170139,5.829681470792801e-10,5.829681470792801e-10,0.9999999997085159,-0.004457145008406239
2024-10-04,0.0037941127054788,0.0073358313510397,0,0.9999999999791953,2.0756766338813708e-11,2.0756766338813708e-11,0.9999999999896216,-0.0037514323679565197
2024-10-07,-0.0051526649267047,0.0073071548612614,0,0.9999999999363354,6.369043554906936e-11,6.369043554906936e-11,0.9999999999681548,-0.0033967634519979
2024-10-08,-0.0092871613530677,0.007485298541951,0,0.9999999997676241,2.32335974325437e-10,2.32335974325437e-10,0.999999999883832,-0.00487960670167784
2024-10-09,0.0049274160361899,0.0075332808312512,0,0.9999999999722604,2.7692410862385502e-11,2.7692410862385502e-11,0.9999999999861537,-0.0033578136448629003
2024-10-10,-0.0010927742902755,0.0074650746805822,0,0.999999999958618,4.143293764314919e-11,4.143293764314919e-11,0.9999999999792835,-0.0013622143656758397
2024-10-11,-0.0008205036398068,0.0074256895314883,0,0.9999999999627107,3.731739639171649e-11,3.731739639171649e-11,0.9999999999813414,-0.00228513763473296
2024-10-14,0.0070883980496468,0.007172583808181,0,0.9999999999854481,1.451001811893132e-11,1.451001811893132e-11,1.0,0.00016307496053734032
2024-10-15,-0.0081833772242584,0.0072198694196804,0,0.9999999998885869,1.1145284153814982e-10,1.1145284153814982e-10,1.0,0.0003838317862992002
2024-10-16,0.0081833772242584,0.0074868785108132,0,0.9999999999752163,2.4779832371651788e-11,2.4779832371651788e-11,1.0,0.0010350240239129006
2024-10-17,0.0018998864793738,0.006790398396671,0,0.9999999999896545,1.0363853827459647e-11,1.0363853827459647e-11,1.0,0.0016335561778427605
2024-10-18,0.0035186563273792,0.0063081332964981,0,0.9999999999949978,5.031107427206562e-12,5.031107427206562e-12,1.0,0.0025013881712799605
2024-10-21,-0.0095018604843905,0.006257501011798,0,0.9999999999560032,4.3994325825158974e-11,4.3994325825158974e-11,0.9999999999780028,-0.0008166635355274995
2024-10-22,-0.0027315782184698,0.0061559690478469,0,0.9999999999912461,8.71460849874153e-12,8.71460849874153e-12,1.0,0.00027369626563022054
2024-10-23,-0.0093431973988072,0.0063373705844786,0,0.9999999999540705,4.5944493753215926e-11,4.5944493753215926e-11,0.9999999999770277,-0.0032316186589828994
2024-10-24,0.0046824549160039,0.0059953617271657,0,0.9999999999965894,3.42445331207956e-12,3.42445331207956e-12,0.9999999999982878,-0.0026751049716568797
