Date,TLT_ret,TLT_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2020-12-14,-0.0027752566654906,0.0078302058457552,0,0.9604438917833876,0.03955610821620032,0.03955610821620032,1.0,0.0021973174331169
2020-12-15,-0.0033532303463263,0.0078490362854123,0,0.988975142981709,0.011024857018582452,0.011024857018582452,1.0,0.0005838974028155
2020-12-16,-0.0026655513649099,0.0077192297379639,0,0.9974284713511572,0.002571528649121445,0.002571528649121445,1.0,0.0007127884184919
2020-12-17,-0.0026494594690798,0.0076942205036682,0,0.9993956807781554,0.0006043192216042198,0.0006043192216042198,0.9996978403891978,-0.00158191460098372
2020-12-18,-0.003001270152631,0.0075849714450135,0,0.9998457045871183,0.00015429541244419274,0.00015429541244419274,0.999922852293778,-0.0028889535996875202
2020-12-21,0.0039575534539168,0.0073233723418502,0,0.9999458286905188,5.417130950969932e-05,5.417130950969932e-05,0.9999729143452452,-0.00154239157580604
2020-12-22,0.0051478701307776,0.0074181861593703,0,0.9999520033065923,4.799669360990938e-05,4.799669360990938e-05,1.0,0.0001578285196147401
2020-12-23,-0.0069329816724205,0.0072484970589276,0,0.999952634974203,4.7365025487034105e-05,4.7365025487034105e-05,0.9999763174872565,-0.0006956575418873798
2020-12-24,0.0039490956143843,0.0072966165194385,0,0.9999661253349178,3.387466488296119e-05,3.387466488296119e-05,1.0,0.0006240534748054403
2020-12-28,0.0004450721603029,0.0069130743681744,0,0.9999798841122002,2.0115887363783486e-05,2.0115887363783486e-05,1.0,0.0013133219373922202
2020-12-29,-0.0012713171984815,0.0069131511247175,0,0.999981061265486,1.8938734482960855e-05,1.8938734482960855e-05,1.0,0.00026754780691256024
2020-12-30,0.0021605278007636,0.006090378353847,0,0.9999864834039185,1.3516595694556154e-05,1.3516595694556154e-05,0.9999932417021526,-0.00032992065909023973
2020-12-31,0.0014592205208633,0.0057946220027987,0,0.9999857245821062,1.427541744007223e-05,1.427541744007223e-05,1.0,0.0013485197795665203
2021-01-04,-0.0012053540545066,0.0055266402325072,0,0.9999709344223875,2.906557777077964e-05,2.906557777077964e-05,1.0,0.00031762984578834023
2021-01-05,-0.0074539206757383,0.0046681675620491,0,0.9997849915581369,0.00021500844165879202,0.00021500844165879202,0.9998924957791706,-0.0012621687214198997
2021-01-06,-0.0207419144617511,0.0062613189869613,0,0.9992336905327083,0.0007663094668976239,0.0007663094668976239,0.9996168452665513,-0.00515628817407382
2021-01-07,-0.0088534465666906,0.0063375106648224,0,0.9998778470287708,0.00012215297092504156,0.00012215297092504156,0.9999389235145375,-0.007359083047564659
2021-01-08,-0.0032328472625147,0.0063365259921323,0,0.9999773117769966,2.2688223313571133e-05,2.2688223313571133e-05,0.9999886558883433,-0.00829749660424026
2021-01-11,-0.0016538375997473,0.0058307082228579,0,0.9999855983787931,1.4401621565012321e-05,1.4401621565012321e-05,0.9999927991892175,-0.0083871933132884
2021-01-12,-0.0007945498366994,0.0056829126142989,0,0.9999843305404138,1.5669459668170103e-05,1.5669459668170103e-05,0.999992165270166,-0.00705531914548062
2021-01-13,0.0111988750407632,0.0064509780256821,0,0.9999595880952643,4.041190490705328e-05,4.041190490705328e-05,0.9999797940475466,-0.0006671612449777591
2021-01-14,-0.0094120248649789,0.0066676370433369,0,0.9999603788228798,3.962117667524486e-05,3.962117667524486e-05,0.9999801894116624,-0.0007788769046354193
2021-01-15,0.0039603242581621,0.0068001736419177,0,0.9999788440491648,2.1155950886347326e-05,2.1155950886347326e-05,1.0,0.0006597573994999407
2021-01-19,0.0032217488627878,0.0068853245134708,0,0.9999800356109725,1.996438868171321e-05,1.996438868171321e-05,1.0,0.0016348746920069608
2021-01-20,0.0009848111545375,0.0068958217712242,0,0.9999802797527049,1.97202469353172e-05,1.97202469353172e-05,1.0,0.0019907468902543406
2021-01-21,-0.0070431912551592,0.0068970345387005,0,0.9999694030145097,3.0596985873615854e-05,3.0596985873615854e-05,0.9999847015070632,-0.0016576663689301396
2021-01-22,0.003231708407583,0.0068081268397905,0,0.9999742579259913,2.5742073578307264e-05,2.5742073578307264e-05,1.0,0.0008710802855822406
2021-01-25,0.0117163324241559,0.0073388481555636,0,0.9999110916823213,8.89083180358254e-05,8.89083180358254e-05,1.0,0.002422281918781001
2021-01-26,-0.0018883968847358,0.0072485766809868,0,0.9999630236449526,3.697635481801489e-05,3.697635481801489e-05,1.0,0.0014002527692762812
2021-01-27,0.0025393905087658,0.0072894963237114,0,0.999966490714832,3.350928494121173e-05,3.350928494121173e-05,1.0,0.0017111686401219412
2021-01-28,-0.0055437339454263,0.0073554226811049,0,0.9999539692861372,4.603071398915037e-05,4.603071398915037e-05,1.0,0.002011060102068521
2021-01-29,-0.0060342579028978,0.0073767640491304,0,0.9999500945634657,4.990543691395809e-05,4.990543691395809e-05,1.0,0.00015786683997236103
2021-02-01,0.0011590893149291,0.0073701358631069,0,0.9999603722802342,3.962771994135362e-05,3.962771994135362e-05,0.9999801861400293,-0.001953581781872999
2021-02-02,-0.0064685695305484,0.0074416943918241,0,0.9999367363983505,6.326360143966011e-05,6.326360143966011e-05,0.9999683681992801,-0.0028696163110355196
2021-02-03,-0.0089123433663646,0.0075042610004567,0,0.9999183697586843,8.163024165839995e-05,8.163024165839995e-05,0.9999591848791708,-0.005159963086061599
2021-02-04,-0.0026764066297811,0.0061021216532608,0,0.999980439503221,1.9560496361637657e-05,1.9560496361637657e-05,0.9999902197518191,-0.004586497622932559
2021-02-05,-0.0084088255029905,0.0060736107839224,0,0.999973983079258,2.6016921113289673e-05,2.6016921113289673e-05,0.9999869915394434,-0.005061411142951099
2021-02-08,0.0043817555021487,0.0061774369032326,0,0.9999844932346564,1.5506764906147838e-05,1.5506764906147838e-05,0.9999922466175469,-0.004416877905507179
2021-02-09,0.0007395601581102,0.0061836559145605,0,0.9999865627680851,1.343723220291736e-05,1.343723220291736e-05,0.9999932813838985,-0.002975251967775459
2021-02-10,0.006631602886604,0.00639710728757,0,0.9999804699497801,1.953005007752112e-05,1.953005007752112e-05,1.0,0.0001335372828182607
2021-02-11,-0.0054902920871868,0.0058816675702176,0,0.9999754562124299,2.4543787118357586e-05,2.4543787118357586e-05,0.9999877281064409,-0.00042923980866287927
2021-02-12,-0.0124968090768016,0.0061439029382164,0,0.9999103124250031,8.968757523461252e-05,8.968757523461252e-05,0.9999551562123827,-0.0012468365234250991
2021-02-16,-0.0153435224731432,0.0067564998235569,0,0.9998275821553506,0.0001724178442899041,0.0001724178442899041,0.999913791077855,-0.005191892118483479
2021-02-17,0.0063302700874067,0.0069235337284947,0,0.9999482064693523,5.179353063585569e-05,5.179353063585569e-05,0.999974103234682,-0.004073750132624179
2021-02-18,-0.0040552334913176,0.0068958780902903,0,0.9999238885137621,7.611148652864654e-05,7.611148652864654e-05,0.9999619442567357,-0.006211117408208499
2021-02-19,-0.0133811087884882,0.0072575185671357,0,0.9995007110219175,0.0004992889779864797,0.0004992889779864797,0.9997503555110068,-0.00778928074846878
2021-02-22,-0.0076369392511336,0.0071967631704344,0,0.999047258455523,0.0009527415441777995,0.0009527415441777995,0.999523629227911,-0.006817306783335179
2021-02-23,-0.0028879370946528,0.0062819134732868,0,0.9962775893372385,0.003722410662662754,0.003722410662662754,0.9981387946686686,-0.004326189707637099
2021-02-24,-0.0065813488252835,0.0062876283690452,0,0.9553936590650556,0.04460634093465549,0.04460634093465549,0.9776968295326722,-0.006908513490175139
2021-02-25,-0.0164657547032616,0.0066406360410203,0,0.5281242063658955,0.4718757936339256,0.4718757936339256,0.7640621031830372,-0.009390617732563939
2021-02-26,0.0325245564586092,0.0107241889750349,1,5.363050710055728e-08,0.9999999463698274,0.9999999463698274,0.5000000268150864,-0.00020948468314445774
2021-03-01,-0.0132956842810814,0.0109439504160956,1,1.3575325653291505e-08,0.9999999864248822,0.9999999864248822,0.500000006787559,-0.0013412336891340181
2021-03-02,7.092360136609045e-05,0.0109216399601323,1,6.527420853545028e-08,0.9999999347255674,0.9999999347255674,0.5000000326372163,-0.00074946154993024
2021-03-03,-0.0109044858654993,0.01102598435604,1,1.532441950123253e-08,0.9999999846759239,0.9999999846759239,0.5000000076620381,-0.0016140889579734
2021-03-04,-0.0064707089511991,0.010980908080741,1,3.566207646216449e-08,0.9999999643378039,0.9999999643378039,1.0,0.0003849201924391003
2021-03-05,0.0019451258380164,0.0110535368618332,1,3.492178192221902e-08,0.9999999650781325,0.9999999650781325,0.5000000174609338,-0.00573096593167946
2021-03-08,-0.007804793341378,0.0110403501874358,1,2.332252676396779e-08,0.9999999766778276,0.9999999766778276,0.5000000116610862,-0.00463278774373878
2021-03-09,0.0137623036602473,0.0115793410405358,1,5.663106152216807e-10,0.9999999994333848,0.9999999994333848,0.5000000002833076,-0.0018945117319625379
2021-03-10,0.0020016029045672,0.0116044365014526,1,2.4983800658137062e-09,0.999999997501618,0.999999997501618,1.0,0.0006867060220507616
2021-03-11,-0.0072394537325428,0.0114128448316085,1,4.395712368143749e-09,0.9999999956044121,0.9999999956044121,1.0,0.0005329570657820216
2021-03-12,-0.0214500617848955,0.0120849148065511,1,4.6719670359746445e-12,0.9999999999954525,0.9999999999954525,0.5000000000022737,-0.004146080458800358
2021-03-15,0.0058627031020845,0.0121401925120581,1,1.1239124022489221e-10,0.9999999998872227,0.9999999998872227,0.5000000000563887,-0.0014125811701078581
2021-03-16,-0.0040266644938905,0.0118211670194674,1,7.585839070413308e-10,0.9999999992414814,0.9999999992414814,0.5000000003792593,-0.004970374800935418
2021-03-17,-0.0075112405912825,0.0116510431171135,1,1.3092189048098082e-09,0.9999999986903276,0.9999999986903276,0.5000000006548362,-0.006872943500105358
2021-03-18,-0.0101775153540792,0.0117415731484816,1,5.590779989673757e-10,0.9999999994406608,0.9999999994406608,0.5000000002796696,-0.007460555824412638
2021-03-19,0.006178607664785,0.0117321950963239,1,9.610493915816312e-10,0.9999999990386641,0.9999999990386641,0.500000000480668,-0.0019348219344765376
2021-03-22,0.0111434845053181,0.0120881540003037,1,6.82783292962188e-11,0.9999999999317879,0.9999999999317879,0.500000000034106,-0.000878665653829818
2021-03-23,0.008986414140173,0.0123347683021899,1,2.5045022670569356e-11,0.9999999999745341,0.9999999999745341,1.0,0.001723950072982882
2021-03-24,0.0053674030944501,0.0123636380154527,1,3.358873891807615e-11,0.9999999999663487,0.9999999999663487,1.0,0.004299678810129402
2021-03-25,-0.0079166783967621,0.0119366604472124,1,3.7340787005304857e-10,0.9999999996261977,0.9999999996261977,1.0,0.004751846201592823
2021-03-26,-0.0035058275367886,0.0090741559748743,1,5.888763485500194e-05,0.9999411123649157,0.9999411123649157,1.0,0.0028149591612781017
