Date,SPY_ret,SPY_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2015-02-02,0.0123077682237387,0.0110451787943648,0,0.999999999996362,3.761225740432514e-12,0.999999999996362,0.500000000001819,
2015-02-03,0.0143575089000927,0.0107483099208138,0,0.997312463593218,0.0026875364071335486,0.997312463593218,0.501343768203391,
2015-02-04,-0.0038148857367003,0.0105374655867064,0,0.9597786131906256,0.040221386809642816,0.9597786131906256,0.5201106934046872,
2015-02-05,0.0100443818709466,0.0104173071277562,0,0.8701696999617314,0.12983030003849033,0.8701696999617314,0.5649151500191343,
2015-02-06,-0.0027692884778304,0.0096720376304917,1,0.5926337937604127,0.40736620623978037,0.5926337937604127,1.0,0.00602509695604946
2015-02-09,-0.004485612795842,0.009549779024542,1,0.41682793766713344,0.5831720623328897,0.41682793766713344,1.0,0.00266642075213332
2015-02-10,0.010596637438932,0.0096320225463247,1,0.2999961696151516,0.7000038303846078,0.2999961696151516,1.0,0.0019142464599011797
2015-02-11,0.0005801143523544,0.0095907438660763,1,0.1582192787162803,0.8417807212837322,0.1582192787162803,1.0,0.00279324647771212
2015-02-12,0.0095708049882065,0.0096062619669626,1,0.09186770752442355,0.9081322924755081,0.09186770752442355,1.0,0.0026985311011640998
2015-02-13,0.0041081095397382,0.0092459933305967,1,0.02755617757617313,0.9724438224233946,0.02755617757617313,1.0,0.00407401070467782
2015-02-17,0.001571926492513,0.0089170245632564,1,0.006083233849271529,0.9939167661505649,0.006083233849271529,1.0,0.00528551856234882
2015-02-18,9.523395180648484e-05,0.008927783134608,1,0.00140061106744719,0.998599388932498,0.00140061106744719,1.0,0.0031852378649237173
2015-02-19,-0.0007142570331569,0.0089160414189567,1,0.00034349254771181913,0.9996565074524989,0.00034349254771181913,1.0,0.002926363587821457
2015-02-20,0.0059828317716085,0.00844109300205,1,8.701029240866425e-05,0.9999129897071979,8.701029240866425e-05,1.0,0.002208768944501857
2015-02-23,-0.0001420601163741,0.008300155326783,1,3.20427631988445e-05,0.9999679572369747,3.20427631988445e-05,1.0,0.001358735013279397
2015-02-24,0.0028365074590287,0.0083035511792898,1,2.388327620886564e-05,0.9999761167242393,2.388327620886564e-05,1.0,0.0016116512065825373
2015-02-25,-0.0008499340973073,0.0075701552430396,1,1.3800569734222636e-05,0.9999861994299,1.3800569734222636e-05,1.0,0.0014226175967597802
2015-02-26,-0.001182064555893,0.0067529570352733,1,9.121598557593355e-06,0.9999908784018243,9.121598557593355e-06,1.0,0.0013290560922125598
2015-02-27,-0.0034119747643715,0.0067058134352943,1,1.0319043427076465e-05,0.9999896809563688,1.0319043427076465e-05,0.9999948404782865,-0.00054990521498344
2015-03-02,0.0062938791756782,0.0057869054004679,1,9.513058092487311e-06,0.9999904869416717,9.513058092487311e-06,1.0,0.0007372826434270199
2015-03-03,-0.0041127146928693,0.005564709204918,1,9.37945885284482e-06,0.9999906205415433,9.37945885284482e-06,0.9999953102705736,-0.00065256178695258
2015-03-04,-0.0042246164077354,0.0049502326440738,1,1.0301265179962775e-05,0.9999896987349879,1.0301265179962775e-05,0.99999484936741,-0.0013274982490382
2015-03-05,0.001093538717971,0.0048028524624302,1,1.2084665057783936e-05,0.9999879153349743,1.2084665057783936e-05,0.9999939576674711,-0.0008723775942653999
2015-03-06,-0.0141643644130543,0.0055415986073318,1,9.63454012624394e-05,0.9999036545990758,9.63454012624394e-05,0.9999518272993688,-0.00302285552400196
2015-03-09,0.0041360761841868,0.0055532030186419,1,2.8835309620974666e-05,0.9999711646906845,2.8835309620974666e-05,0.9999855823451895,-0.00345441612230024
2015-03-10,-0.0163551295771343,0.0066584532105319,1,0.0002550733893334341,0.9997449266107059,0.0002550733893334341,0.9998724633053333,-0.00590289909915324
2015-03-11,-0.0023443298483564,0.0061959652891659,1,2.4408431417162998e-05,0.9999755915683037,2.4408431417162998e-05,0.9999877957842914,-0.00552684178727744
2015-03-12,0.012633856784103,0.0068631823748364,1,4.216182139854398e-05,0.9999578381787468,4.216182139854398e-05,0.9999789190893007,-0.0032187781740510403
2015-03-13,-0.0061508253417161,0.0066099099579575,1,2.1760896746282203e-05,0.9999782391035599,2.1760896746282203e-05,0.9999891195516268,-0.0016160703597834004
2015-03-16,0.0132716760224247,0.0072505664212492,1,5.609791206263382e-05,0.9999439020877007,5.609791206263382e-05,1.0,0.00021104960786417977
2015-03-17,-0.002976802652967,0.0072605274560109,1,2.0204071456763502e-05,0.9999797959284622,2.0204071456763502e-05,1.0,0.00288671499269764
2015-03-18,0.0119498428425138,0.0077783303349404,1,5.557241933538155e-05,0.9999444275807676,5.557241933538155e-05,1.0,0.005745549530871681
2015-03-19,-0.0045717476666828,0.0078465481101105,1,3.0743289790174686e-05,0.9999692567104033,3.0743289790174686e-05,1.0,0.0023044286407145204
2015-03-20,0.0087881049807289,0.0079851276529507,1,3.7446669159501004e-05,0.9999625533309118,3.7446669159501004e-05,1.0,0.00529221470520352
2015-03-23,-0.0019503624264224,0.0079973571888242,1,3.7899592660686516e-05,0.9999621004077905,3.7899592660686516e-05,1.0,0.0022478070154341003
2015-03-24,-0.0056350899470718,0.0080597204318537,1,0.00015510057068349078,0.9998448994296234,0.00015510057068349078,1.0,0.0017161495566131405
2015-03-25,-0.014762068340423,0.0086698487934691,1,0.0007494158418027034,0.9992505841577998,0.0007494158418027034,0.9996252920790987,-0.0036262326799742202
2015-03-26,-0.0023842144594085,0.0086740026693582,1,0.0002262632921550122,0.999773736707573,0.0002262632921550122,0.9998868683539225,-0.00318872603851936
