Date,raw_returns,portfolio_vol,regime,prob_regime_0,prob_regime_1,risk_off_prob,exposure,scaled_returns
2015-03-02,0.001854149476125213,0.00540004610598669,0,1.0,1.350086788246963e-35,1.350086788246963e-35,1.0,0.001854149476125213
2015-03-03,-0.004825586676501874,0.005104580636551184,0,0.9999904509742275,9.549026135584956e-06,9.549026135584956e-06,1.0,-0.004825586676501874
2015-03-04,-0.0013486033531254465,0.0047576830900637355,0,0.9999920626093044,7.93739068165954e-06,7.93739068165954e-06,1.0,-0.0013486033531254465
2015-03-05,-0.00025057620113436017,0.004762787365257219,0,0.9999836858581328,1.6314141427039723e-05,1.6314141427039723e-05,1.0,-0.00025057620113436017
2015-03-06,-0.015441852926281894,0.005862461684364631,0,0.9997846328451414,0.00021536715517276163,0.00021536715517276163,1.0,-0.015441852926281894
2015-03-09,0.003112791441376386,0.005739365819861626,0,0.9999814940868205,1.8505913256878114e-05,1.8505913256878114e-05,1.0,0.003112791441376386
2015-03-10,-0.009815492668732474,0.006168779204732993,0,0.9999640767123013,3.5923288038318784e-05,3.5923288038318784e-05,1.0,-0.009815492668732474
2015-03-11,-0.003546613582162607,0.0058320388817121585,0,0.9999895492774553,1.0450722867797135e-05,1.0450722867797135e-05,1.0,-0.003546613582162607
2015-03-12,0.00544786563585076,0.005955052312930153,0,0.9999911971695844,8.802830737069118e-06,8.802830737069118e-06,1.0,0.00544786563585076
2015-03-13,-0.0008780249798282601,0.005848820850803668,0,0.9999921691839628,7.830816480258086e-06,7.830816480258086e-06,1.0,-0.0008780249798282601
2015-03-16,0.010520963865141814,0.006327855096283316,0,0.9999764224981966,2.3577501975846186e-05,2.3577501975846186e-05,1.0,0.010520963865141814
2015-03-17,-0.0017908319105592867,0.006336956166002981,0,0.999989498504536,1.0501495700348703e-05,1.0501495700348703e-05,1.0,-0.0017908319105592867
2015-03-18,0.008868784345979413,0.006662776357234458,0,0.9999795797432345,2.04202572117914e-05,2.04202572117914e-05,1.0,0.008868784345979413
2015-03-19,-0.0031723886363262933,0.00664351777781064,0,0.9999860624373416,1.3937562442021128e-05,1.3937562442021128e-05,1.0,-0.0031723886363262933
2015-03-20,0.004918250041781053,0.006049482875371534,0,0.9999772330347348,2.276696524058405e-05,2.276696524058405e-05,1.0,0.004918250041781053
2015-03-23,-0.0014543696135598263,0.006047121757911946,0,0.9997341005291834,0.00026589947099156703,0.00026589947099156703,1.0,-0.0014543696135598263
2015-03-24,0.006620133802901913,0.00620667615591196,0,0.9947208029098248,0.005279197090227957,0.005279197090227957,1.0,0.006620133802901913
