Date,VNQ_ret,VNQ_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-08-20,-0.0011952390648514,0.0109868448868258,0,1.0,1.1643516851664781e-26,1.1643516851664781e-26,1.0,
2024-08-21,0.0053131861443576,0.0103350065514602,0,0.9999999992855919,7.144046649531253e-10,7.144046649531253e-10,0.9999999996427977,
2024-08-22,0.0029154351507072,0.0102513210187855,0,0.9999999991590585,8.409372914155098e-10,8.409372914155098e-10,0.9999999995795313,
2024-08-23,0.021758705609725,0.0106261296093104,0,0.9999999995280859,4.718916471660865e-10,4.718916471660865e-10,0.9999999997640542,
2024-08-26,-0.0004222576173269,0.0106354117521009,0,0.9999999964621793,3.537859894640531e-09,3.537859894640531e-09,1.0,0.0056739660445223
2024-08-27,0.001476781875707,0.0105663815877296,0,0.9999999978226697,2.177311679436528e-09,2.177311679436528e-09,1.0,0.00620837023263398
2024-08-28,-0.0039072897448717,0.0105774553434868,0,0.9999999938621613,6.13786241010492e-09,6.13786241010492e-09,1.0,0.00436427505478812
2024-08-29,-0.0030731576560242,0.0104740210034564,0,0.9999999958896524,4.110382857463848e-09,4.110382857463848e-09,1.0,0.0031665564934418404
2024-08-30,0.0096119031898294,0.0106117212251119,0,0.9999999991750883,8.249032453898975e-10,8.249032453898975e-10,1.0,0.0007371960094627206
2024-09-03,-0.000525737484555,0.0077442277227635,0,0.9999999999929514,7.007901728305708e-12,7.007901728305708e-12,1.0,0.0007165000360171007
2024-09-04,0.0028357721535194,0.0067603364756354,0,0.9999999999995453,4.501132312949828e-13,4.501132312949828e-13,1.0,0.0009882980915795806
2024-09-05,-0.0032566122099782,0.0065359429888422,0,0.9999999999987494,1.2037826488318805e-12,1.2037826488318805e-12,1.0,0.0011184335985582807
2024-09-06,-0.0009474743990677,0.0063763962396682,0,0.9999999999995453,4.910625181306653e-13,4.910625181306653e-13,1.0,0.0015435702499495807
2024-09-09,0.0111020082314329,0.0066586549100446,0,0.9999999999998863,8.531839431366742e-14,8.531839431366742e-14,1.0,0.0018415912582702809
2024-09-10,0.0143738999072585,0.006713720726919,0,0.9999999999998863,6.318801562052519e-14,6.318801562052519e-14,1.0,0.004821518736632981
2024-09-11,-0.0019526008008725,0.0067202739985008,0,0.9999999999987494,1.2392691155817168e-12,1.2392691155817168e-12,1.0,0.003863844145754601
2024-09-12,0.0042087758392821,0.0067226675224677,0,0.9999999999996589,3.152142822205434e-13,3.152142822205434e-13,1.0,0.00535692175560666
2024-09-13,0.0103944242273209,0.0068328019859363,0,0.9999999999998863,1.3751787241653152e-13,1.3751787241653152e-13,1.0,0.00762530148088438
2024-09-16,0.0033399489436783,0.0067568226191045,0,0.9999999999995453,4.0271398276376923e-13,4.0271398276376923e-13,1.0,0.006072889623333461
2024-09-17,-0.0069963123148578,0.0071037996976863,0,0.9999999999899956,1.0032442917161403e-11,1.0032442917161403e-11,1.0,0.0017988471789102006
2024-09-18,-0.0012215728077166,0.0071046699013408,0,0.9999999999977263,2.2335025773456528e-12,2.2335025773456528e-12,1.0,0.0019450527775413812
2024-09-19,0.0002036305960528,0.0071184815918179,0,0.9999999999982947,1.6527675338713249e-12,1.6527675338713249e-12,1.0,0.0011440237288955209
2024-09-20,-0.0039801942049106,0.00728757031382,0,0.9999999999936335,6.3589146710027885e-12,6.3589146710027885e-12,0.9999999999968205,-0.0017308999575507793
2024-09-23,0.0098702954633343,0.0060219562268019,0,1.0,2.65702054360556e-14,2.65702054360556e-14,0.9999999999999867,-0.00042483065361957964
2024-09-24,0.0014166306082636,0.0059960974988673,0,0.9999999999998863,1.3224630516238071e-13,1.3224630516238071e-13,1.0,0.0012577579310047004
2024-09-25,-0.0066958422033704,0.00631433066435,0,0.9999999999979536,2.0430350517759706e-12,2.0430350517759706e-12,1.0,0.00016290405187394057
2024-09-26,-0.0091007477931627,0.0066563236700672,0,0.9999999999920419,7.988641786922073e-12,7.988641786922073e-12,0.9999999999960056,-0.0016979716259691593
2024-09-27,0.001273311843684,0.0065702282183239,0,0.9999999999995453,4.2907970983979186e-13,4.2907970983979186e-13,0.9999999999997855,-0.0006472704162502394
2024-09-30,0.0078318738306072,0.0064686492587054,0,0.9999999999998863,9.517165607684085e-14,9.517165607684085e-14,0.9999999999999525,-0.001054954742795659
2024-10-01,-0.0064878006235297,0.0067052411510329,0,0.9999999999959073,4.037415274344839e-12,4.037415274344839e-12,0.9999999999979813,-0.0026358409891543188
2024-10-02,-0.0035190407206417,0.0067793208937422,0,0.9999999999979536,2.0726576114041355e-12,2.0726576114041355e-12,0.9999999999989637,-0.0020004806926085792
2024-10-03,-0.0091656802268563,0.0070956486345428,0,0.9999999999813554,1.865021343615e-11,1.865021343615e-11,0.9999999999906749,-0.0020134671793472993
2024-10-04,-0.0048249203312702,0.0071952281743355,0,0.9999999999934062,6.604924707637591e-12,6.604924707637591e-12,0.9999999999966975,-0.0032331136143381395
2024-10-07,-0.0088710219961559,0.00703099238682,0,0.9999999999848797,1.509461162042078e-11,1.509461162042078e-11,0.9999999999924527,-0.00657369277969076
2024-10-08,0.0020134195984491,0.0061422929812639,0,0.9999999999998863,1.5432661208379277e-13,1.5432661208379277e-13,0.9999999999999228,-0.004873448735294999
2024-10-09,0.0010580684843209,0.0061575111651993,0,0.9999999999997726,1.9771841615976536e-13,1.9771841615976536e-13,0.9999999999999012,-0.003958026894302479
2024-10-10,-0.0089229355733706,0.006276039077433,0,0.9999999999962483,3.728021013023724e-12,3.728021013023724e-12,0.9999999999981359,-0.003909477963605339
2024-10-11,0.0112468375286467,0.0063641931202859,0,1.0,4.440682169993355e-14,4.440682169993355e-14,0.9999999999999778,-0.0006951263916219593
2024-10-14,0.0059958823206401,0.0064984754367275,0,0.9999999999998863,1.406800269887033e-13,1.406800269887033e-13,1.0,0.002278254471737241
2024-10-15,0.0119886090814455,0.0070110873124363,0,0.9999999999998863,1.6266911944216806e-13,1.6266911944216806e-13,1.0,0.004273292368336521
2024-10-16,0.0109246814243386,0.0074567013652128,0,0.9999999999995453,4.982592258552552e-13,4.982592258552552e-13,1.0,0.006246614956340061
2024-10-17,-0.0079238995895463,0.0076699076922991,0,0.999999999960778,3.919899044346796e-11,3.919899044346796e-11,1.0,0.0064464221531049205
2024-10-18,0.0074113552529689,0.0078035407743967,0,0.999999999998181,1.7704131734266903e-12,1.7704131734266903e-12,1.0,0.00567932569796936
2024-10-21,-0.0197822255727798,0.0086551636320904,0,0.999999987898491,1.2101537713036972e-08,1.2101537713036972e-08,1.0,0.00052370411928538
2024-10-22,0.001463335250607,0.0086559149401353,0,0.9999999999682814,3.168901073585581e-11,3.168901073585581e-11,0.9999999999841556,-0.00158135064688232
2024-10-23,0.0072848103325223,0.0087530700369263,0,0.9999999999853344,1.4710067367314262e-11,1.4710067367314262e-11,0.999999999992645,-0.0023093248652455802
2024-10-24,0.002175192789524,0.0085306091040156,0,0.9999999999788542,2.1119612919854493e-11,2.1119612919854493e-11,0.9999999999894402,-0.0002895063894315199
2024-10-25,-0.0094600031220463,0.0087840175310121,0,0.9999999994507789,5.492066192135638e-10,5.492066192135638e-10,0.9999999997253968,-0.00366377806443456
2024-10-28,0.0031286096271323,0.0086110891869475,0,0.9999999999789679,2.108241224083121e-11,2.108241224083121e-11,1.0,0.0009183889755478601
2024-10-29,-0.0072104654741662,0.0086380688015282,0,0.9999999997783107,2.2169347739970843e-10,2.2169347739970843e-10,0.9999999998891533,-0.00081637116940678
2024-10-30,0.0043952328851487,0.0086856629358055,0,0.9999999999801048,1.9898899242356467e-11,1.9898899242356467e-11,0.9999999999900506,-0.0013942866588815001
2024-10-31,-0.0170602305436422,0.0092671296897312,0,0.999999985198997,1.4801000540320581e-08,1.4801000540320581e-08,0.9999999925994998,-0.00524137132551474
2024-11-01,-0.0111077897400095,0.0095157440969801,0,0.9999999961688673,3.831176600547558e-09,3.831176600547558e-09,0.9999999980844116,-0.00557092864910738
2024-11-04,0.0108952593144672,0.0096870044298573,0,0.9999999999192823,8.071858013133801e-11,8.071858013133801e-11,0.9999999999596407,-0.004017598711640399
2024-11-05,0.013192102754101,0.0101263440916366,0,0.9999999998080966,1.9185579705876205e-10,1.9185579705876205e-10,1.0,6.29149340130402e-05
2024-11-06,-0.0215129606323122,0.0112540197572549,0,0.9999966554885527,3.344511493857972e-06,3.344511493857972e-06,0.999998327744253,-0.0051187237694791405
