Date,MSFT_ret,MSFT_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2015-02-02,0.0215485006478522,0.0281778922221347,1,1.5343293247213757e-124,1.0,1.0,0.5,
2015-02-03,0.0077220552671707,0.0283374308431763,1,1.3550893569039161e-11,0.9999999999863576,0.9999999999863576,0.5000000000068212,
2015-02-04,0.0057522581763002,0.0283509403885455,1,1.4159895612512261e-11,0.9999999999854481,0.9999999999854481,0.500000000007276,
2015-02-05,0.0144743891130931,0.0284121905316577,1,7.530215151576014e-12,0.999999999992724,0.999999999992724,0.500000000003638,
2015-02-06,-0.0009427172892466,0.0273359967387943,1,1.2427133433700877e-10,0.9999999998753992,0.9999999998753992,1.0,0.009710897183033921
2015-02-09,-0.0011794892736107,0.0273467630065217,1,1.2129783824013042e-10,0.9999999998790372,0.9999999998790372,1.0,0.005165299198741339
2015-02-10,0.0056496599282493,0.0273985478513917,1,1.0260470387517573e-10,0.9999999998972271,0.9999999998972271,1.0,0.004750820130957059
2015-02-11,-0.005177950696024,0.0273985667435252,1,9.943546586420282e-11,0.9999999999008651,0.9999999999008651,1.0,0.002564778356492219
2015-02-12,0.0166140359480923,0.0277762103791197,1,2.3690533930813627e-11,0.9999999999763531,0.9999999999763531,1.0,0.0029927077234920595
2015-02-13,0.0179403626661408,0.0281101355224238,1,1.031910877679692e-11,0.9999999999899956,0.9999999999899956,1.0,0.006769323714569539
2015-02-17,0.0004589435791078,0.0277848095824298,1,5.019504496520342e-11,0.9999999999499778,0.9999999999499778,1.0,0.007097010285113239
2015-02-18,-0.0011476520382123,0.0277535270501229,1,5.3004290876907505e-11,0.9999999999472493,0.9999999999472493,1.0,0.005737547891820919
2015-02-19,-0.0006894895599816,0.0277022217180905,1,5.916593952028202e-11,0.9999999999408828,0.9999999999408828,1.0,0.0066352401190294
2015-02-20,0.0082418529664234,0.0270213485310256,1,1.979487153084401e-10,0.9999999998017302,0.9999999998017302,1.0,0.00496080352269562
2015-02-23,0.0065902333972953,0.0270958663744384,1,1.827325013464164e-10,0.9999999998171916,0.9999999998171916,1.0,0.00269077766892652
2015-02-24,-0.0013600698971105,0.0270977152237453,1,3.744463946746586e-07,0.9999996255538254,0.9999996255538254,1.0,0.00232697497368286
2015-02-25,-0.0022712386121832,0.0155931261804357,0,0.6813624306824213,0.3186375693173524,0.3186375693173524,1.0,0.0021022576588886803
2015-02-26,0.0015904085095478,0.0129511651993388,0,0.968172746073998,0.03182725392619459,0.03182725392619459,1.0,0.00255823727279456
2015-02-27,-0.0047774151916482,0.0125099861984507,0,0.9969281489719973,0.0030718510282487753,0.0030718510282487753,0.9984640744858756,-4.5616358819760076e-05
2015-03-02,0.0006834817760389,0.0078444168232076,0,0.9997572226232687,0.0002427773766464428,0.0002427773766464428,0.9998786113116768,-0.00122696668307104
2015-03-03,-0.01376781443277,0.0077760560327867,0,0.999911889049419,8.811095069460643e-05,8.811095069460643e-05,0.9999559445246526,-0.0037085155902029402
2015-03-04,-0.0050959903840386,0.0078697718245387,0,0.9999636989527672,3.6301047032954785e-05,3.6301047032954785e-05,0.9999818494764835,-0.004273465944574019
2015-03-05,0.0011605839081399,0.0078238233158059,0,0.9999686713177554,3.132868198971494e-05,3.132868198971494e-05,0.9999843356590051,-0.0043594308648555995
2015-03-06,-0.017550746885026,0.0083626566858477,0,0.9999188352583868,8.116474150713134e-05,8.116474150713134e-05,0.9999594176292464,-0.006914097203531161
2015-03-09,0.0115010103274488,0.0087244527532632,0,0.9999601605646466,3.983943551229932e-05,3.983943551229932e-05,0.9999800802822438,-0.00475059149324918
2015-03-10,-0.0193218598804532,0.0098228574187842,0,0.999908539326514,9.146067349335566e-05,9.146067349335566e-05,0.9999542696632533,-0.00586140058278582
2015-03-11,-0.001190000855023,0.0097331267418858,0,0.9999645115680275,3.548843160702825e-05,3.548843160702825e-05,0.9999822557841964,-0.0050802026769827
2015-03-12,-0.0231338418823843,0.0109510700088283,0,0.9998352101380473,0.00016478986183722107,0.00016478986183722107,0.9999176050690814,-0.00993908783508754
2015-03-13,0.0087376503989404,0.0104016865716879,0,0.999965002829738,3.4997170351480925e-05,3.4997170351480925e-05,0.9999825014148243,-0.004681408378294259
2015-03-16,0.0043406283258496,0.0094535376620966,0,0.9999769187696831,2.3081230484028406e-05,2.3081230484028406e-05,0.999988459384758,-0.006113484778614099
2015-03-17,0.0033630663143073,0.0095210176471084,0,0.9999760680465182,2.3931953292960848e-05,2.3931953292960848e-05,0.9999880340233536,-0.0015764995396619994
2015-03-18,0.0190030040417261,0.0106392993750703,0,0.9999434314970881,5.6568502960434915e-05,5.6568502960434915e-05,1.0,0.0024621014396878204
2015-03-19,-0.004953734699627,0.0106712664863166,0,0.9999697977523138,3.0202247271523447e-05,3.0202247271523447e-05,1.0,0.006098122876239281
2015-03-20,0.0138553443122693,0.0110070446474622,0,0.9999610231527256,3.897684684387536e-05,3.897684684387536e-05,1.0,0.007121661658905061
2015-03-23,-0.000467059367112,0.0108586485723643,0,0.999966332679065,3.3667321039133525e-05,3.3667321039133525e-05,1.0,0.00616012412031274
2015-03-24,0.0009330720496814,0.010872110276083,0,0.9998390227053555,0.00016097729505004597,0.00016097729505004597,1.0,0.00567412526738756
2015-03-25,-0.0341428264040039,0.0131157433065411,0,0.9976590602864941,0.002340939713303091,0.002340939713303091,0.9988295301433485,-0.004955040821758439
2015-03-26,-0.0060480799926247,0.0130873968798145,0,0.999650684289587,0.0003493157106823118,0.0003493157106823118,0.9998253421446588,-0.005173909880357979
