Date,CL_ret,CL_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2017-06-15,0.0061747611445631,0.008936622361617,0,0.9194554543901491,0.08054454560998296,0.08054454560998296,1.0,0.0014722982880973387
2017-06-16,-0.0005239269726175,0.0069498954708999,0,0.9932136798755087,0.006786320124863569,0.006786320124863569,1.0,0.0014204028415687388
2017-06-19,0.0077016050135881,0.0066745429504499,0,0.9991556378970259,0.000844362102950235,0.000844362102950235,1.0,0.0035422277927802787
2017-06-20,-0.0071776780409704,0.0066700806125214,0,0.999834962481652,0.0001650375179293457,0.0001650375179293457,1.0,0.0017364811505850785
2017-06-21,-0.0088140259930283,0.0068640209200795,0,0.9999114002683108,8.859973162491497e-05,8.859973162491497e-05,0.9999557001341876,-0.0005278529696930011
2017-06-22,-0.0019844160628198,0.0065569383830827,0,0.9999394383925623,6.056160711026053e-05,6.056160711026053e-05,0.999969719196445,-0.002159688411169581
2017-06-23,0.0051502688170956,0.0062533279289315,0,0.9999289118698789,7.108812994730234e-05,7.108812994730234e-05,0.9999644559350264,-0.001024849253226961
2017-06-26,-0.0003950071541139,0.0062532587113332,0,0.9999329430149047,6.705698479421158e-05,6.705698479421158e-05,0.9999664715076029,-0.002644171686767361
2017-06-27,-0.0068754755397295,0.0061389741394859,0,0.9999105390071292,8.946099300984181e-05,8.946099300984181e-05,0.999955269503495,-0.002583731186519181
2017-06-28,-0.003721800408835,0.0061035535948909,0,0.999914093339071,8.59066609002072e-05,8.59066609002072e-05,0.9999570466695499,-0.0015652860696805213
2017-06-29,-0.0130023226209313,0.006546413510383,0,0.9998603467683095,0.00013965323186574324,0.00013965323186574324,0.9999301733840671,-0.0037688673813028213
2017-06-30,0.0001348938257654,0.006344782985438,0,0.9999312463895397,6.875361016449351e-05,6.875361016449351e-05,0.9999656231949178,-0.004771942379568861
2017-07-03,-0.0025660363470789,0.0062909338844597,0,0.9999341142589008,6.58857414472576e-05,6.58857414472576e-05,0.9999670571292764,-0.005206148218161862
2017-07-05,-0.0024375734441453,0.0062884363422308,0,0.9999329616719375,6.703832830718523e-05,6.703832830718523e-05,0.9999664808358464,-0.004318567799045022
2017-07-06,-0.004211954902246,0.006222908868125,0,0.9999176597625612,8.234023717175885e-05,8.234023717175885e-05,0.9999588298814142,-0.004416598697727221
2017-07-07,-0.0014986545812388,0.0050497780207277,0,0.9998418541480564,0.00015814585220997116,0.00015814585220997116,0.999920927073895,-0.0021158650897887214
2017-07-10,-0.0035510135117946,0.0050560268431144,0,0.9998119186692053,0.0001880813311101661,0.0001880813311101661,0.9999059593344449,-0.0028530465573007213
2017-07-11,-0.0093486542751603,0.0053276395162652,0,0.9997838755804562,0.00021612441992282556,0.00021612441992282556,0.9998919377900386,-0.004209570142917002
2017-07-12,-0.0016588619140378,0.005246815631099,0,0.9998406981182455,0.00015930188203059774,0.00015930188203059774,0.9999203490589847,-0.004053827836895502
2017-07-13,-0.0006922476996546,0.0051400411338248,0,0.9998381475925893,0.00016185240734292679,0.00016185240734292679,0.9999190737963286,-0.0033498863963772217
2017-07-14,0.009146484723396,0.0054372953009272,0,0.9998169057571339,0.00018309424242525917,0.00018309424242525917,0.9999084528787874,-0.0012208585354502616
2017-07-17,0.0013785832100259,0.0054867212084383,0,0.9998649864875985,0.00013501351202532526,0.00013501351202532526,0.9999324932439874,-0.00023493919108616163
2017-07-18,-0.0009646550993576,0.0049806986579567,0,0.9998138902112027,0.0001861097888338336,0.0001861097888338336,1.0,0.0014418606440743781
2017-07-19,-0.0004139281106684,0.0048861432961025,0,0.9997661491177164,0.00023385088221362541,0.00023385088221362541,1.0,0.0016908474047482587
2017-07-20,-0.0055331592634839,0.0047083531386479,0,0.9996622884593918,0.00033771154077150866,0.00033771154077150866,1.0,0.0007226650919823985
2017-07-21,0.0162356249149295,0.0062521215077153,0,0.9995838742829353,0.0004161257172507293,0.0004161257172507293,1.0,0.0021404931302890988
2017-07-24,-0.0195703792934784,0.0072809780268887,0,0.9995467456453335,0.0004532543547205525,0.0004532543547205525,0.9997733728226397,-0.0020492993704117612
2017-07-25,0.0027797122061078,0.007362910304431,0,0.9999222086662624,7.779133329095621e-05,7.779133329095621e-05,0.9999611043333545,-0.0013004259093186814
2017-07-26,0.0130989228108021,0.0080361728849112,0,0.9999137966847016,8.620331491741879e-05,8.620331491741879e-05,1.0,0.0014021442749754187
2017-07-27,-0.0006850555662672,0.0080170670950992,0,0.9999578614380934,4.213856196640575e-05,4.213856196640575e-05,1.0,0.0023717650144187584
2017-07-28,-0.0056360726767275,0.0076033009919235,0,0.9999514739489265,4.852605063347388e-05,4.852605063347388e-05,0.9999757369746833,-0.0020025745039126417
2017-07-31,-0.0046979569420302,0.0076486966232723,0,0.9999533120602565,4.6687939673694814e-05,4.6687939673694814e-05,1.0,0.0009719099663769984
2017-08-01,-0.0069497238693287,0.0077567358593149,0,0.9999479052621728,5.209473768244417e-05,5.209473768244417e-05,0.9999739526311588,-0.0009739772487103015
2017-08-02,-0.0011158530460676,0.0077518086877251,0,0.9999599392315827,4.0060768170560506e-05,4.0060768170560506e-05,0.9999799696159147,-0.0038169324200842416
2017-08-03,-0.0002796601615957,0.0077210529566415,0,0.9999610348674703,3.896513228381584e-05,3.896513228381584e-05,0.9999805174338581,-0.0037358533391499416
2017-08-04,-0.0016770737201337,0.0077217651119958,0,0.9999601856093142,3.981439025924089e-05,3.981439025924089e-05,0.9999800928048703,-0.0029440535478311818
2017-08-07,0.0036304026080566,0.0077640830264012,0,0.9999596233012915,4.037669907239561e-05,4.037669907239561e-05,0.9999798116504638,-0.0012783816378138216
2017-08-08,-0.0005578156802596,0.0074895571394081,0,0.9999595889392413,4.041106085701237e-05,4.041106085701237e-05,0.9999797944695714,-1.5395670849294162e-18
2017-08-09,-0.0018145666566567,0.0074912252474023,0,0.999958723391207,4.1276608718891464e-05,4.1276608718891464e-05,0.9999793616956405,-0.00013974272211782153
2017-08-10,-0.0002794017060901,0.0074904123943549,0,0.9999592061775668,4.079382257458163e-05,4.079382257458163e-05,0.9999796030887127,-0.00013969103101670158
2017-08-11,-0.0040611963028223,0.0072000508609403,0,0.9999525697919883,4.7430208022282686e-05,4.7430208022282686e-05,0.9999762848959888,-0.0006165155475544215
2017-08-14,0.0026622362966892,0.007226687694679,0,0.9999559481737991,4.405182618868626e-05,4.405182618868626e-05,0.9999779740869057,-0.0008101488098279017
2017-08-15,0.0048871430799326,0.0073369285077556,0,0.999954272953395,4.5727046348743173e-05,4.5727046348743173e-05,1.0,0.0002788429422105385
2017-08-16,0.0018086941869282,0.0073550934826558,0,0.999956343248247,4.365675190680855e-05,4.365675190680855e-05,1.0,0.0010034951109275186
2017-08-17,-0.0087970751252699,0.0075098510725889,0,0.9999336467122242,6.635328763956358e-05,6.635328763956358e-05,0.9999668233561803,-0.0007000395729084416
2017-08-18,-0.0039344636299809,0.0064108323301259,0,0.9999200994951734,7.990050512997183e-05,7.990050512997183e-05,0.999960049747435,-0.0006746930383401616
2017-08-21,0.0082730860989109,0.0052032349556133,0,0.999796633222931,0.0002033667770495746,0.0002033667770495746,1.0,0.0004474769221041782
2017-08-22,0.0004188840720237,0.0051594550305648,0,0.9997591884935524,0.00024081150676685776,0.00024081150676685776,0.9998795942466165,-0.00044617487947760156
2017-08-23,-0.0058800137662998,0.0042297935256119,0,0.9994486546149133,0.0005513453851405001,0.0005513453851405001,0.9997243273074298,-0.0019839164701232017
2017-08-24,-0.0061975615112091,0.0043694218976657,0,0.9993988766386995,0.0006011233613447313,0.0006011233613447313,0.9996994383193276,-0.0014640137473110417
2017-08-25,0.0052142107338853,0.004501736658137,0,0.999462218307087,0.0005377816926114966,0.0005377816926114966,1.0,0.00036572112546219836
2017-08-28,-0.0035197790559939,0.0044578444737155,0,0.9994982095834821,0.0005017904164775995,0.0005017904164775995,0.9997491047917613,-0.0019928519055187614
2017-08-29,0.0056256370586637,0.0044477442609424,0,0.9994968295415357,0.0005031704580719963,0.0005031704580719963,0.999748414770964,-0.0009515013081907615
2017-08-30,-0.004920911798411,0.0045652224214537,0,0.9995789217354046,0.00042107826476931663,0.00042107826476931663,0.9997894608676153,-0.0007596809146130012
2017-08-31,0.0096784183393649,0.0050989115803653,0,0.99966908236648,0.0003309176334741361,0.0003309176334741361,1.0,0.002415515055501799
2017-09-01,-0.0047575065409538,0.0051986743085565,0,0.9997942645165998,0.00020573548355793368,0.00020573548355793368,1.0,0.0004211716005339787
2017-09-05,-0.0026682351564988,0.0051496849120351,0,0.9998299774287842,0.000170022571355645,0.000170022571355645,1.0,0.0005914803804329987
2017-09-06,0.0053293697758487,0.0053084666275398,0,0.9998431753211636,0.0001568246789592313,0.0001568246789592313,1.0,0.0005322269238699987
2017-09-07,0.0009788711185355,0.0052990129999164,0,0.9998628725047874,0.00013712749532966847,0.00013712749532966847,1.0,0.0017121835072592985
2017-09-08,0.0036267395288181,0.0053600767931663,0,0.9998639211971697,0.0001360788029962441,0.0001360788029962441,1.0,0.0005018477451499389
2017-09-11,0.0027809360568416,0.0052924995136541,0,0.9998613549784078,0.00013864502117928902,0.00013864502117928902,1.0,0.0020095362647090187
2017-09-12,-0.0009724868611001,0.0052778290010035,0,0.9998607462481583,0.00013925375174135926,0.00013925375174135926,1.0,0.0023486859237887587
2017-09-13,-0.0041785090268747,0.0052567896674517,0,0.9998460001964434,0.00015399980334559812,0.00015399980334559812,1.0,0.0004471101632440787
2017-09-14,0.0068156342573829,0.0054676957389295,0,0.9998407843718982,0.00015921562812908448,0.00015921562812908448,1.0,0.0016144627910135586
2017-09-15,0.0019391065632633,0.0050549439128739,0,0.99981964072996,0.00018035927036696235,0.00018035927036696235,1.0,0.0012769361979025986
2017-09-18,0.0015202772269702,0.0049385365983337,0,0.9997847023819529,0.0002152976177256015,0.0002152976177256015,1.0,0.0010248044319283189
2017-09-19,0.0057853180282574,0.0047730791328893,0,0.9997116670094683,0.0002883329903806075,0.0002883329903806075,1.0,0.0023763654097998187
2017-09-20,-0.0035771466055308,0.0048738089930776,0,0.9997058154473992,0.0002941845527046307,0.0002941845527046307,1.0,0.002496637894068599
2017-09-21,-0.016398006605975,0.0060410486890948,0,0.9995902535982953,0.00040974640184167116,0.00040974640184167116,0.9997951267990792,-0.002146090278602981
2017-09-22,-0.0025256000606731,0.0058934089829776,0,0.9997482023595682,0.0002517976401347123,0.0002517976401347123,0.9998741011799326,-0.003039031603390261
2017-09-25,0.0251067070423779,0.0080517919471403,0,0.9991605409479186,0.0008394590519511685,0.0008394590519511685,1.0,0.0016782543596912786
2017-09-26,0.0053283867458517,0.0080169946697598,0,0.999897527163926,0.00010247283571227054,0.00010247283571227054,1.0,0.0015868681032101387
2017-09-27,-0.0042327270130342,0.00806750727846,0,0.9999525189909347,4.748100916250216e-05,4.748100916250216e-05,1.0,0.0014557520217094587
2017-09-28,0.0009573299724566,0.0079375433017277,0,0.9999611322714717,3.886772838730906e-05,3.886772838730906e-05,1.0,0.004926819337395779
2017-09-29,-0.0041096296102162,0.0077896808679726,0,0.9999569174728398,4.308252749884385e-05,4.308252749884385e-05,1.0,0.004610013427487159
2017-10-02,0.0013715843386749,0.0076777429880706,0,0.9999598632990959,4.013670062341335e-05,4.013670062341335e-05,0.9999799316496882,-0.00013701111325344057
2017-10-03,-0.0070156066998827,0.0078509374857267,0,0.9999481061327324,5.189386722889891e-05,5.189386722889891e-05,0.9999740530663855,-0.0026058098024003204
2017-10-04,0.0060556506625935,0.0078740201694141,0,0.9999547406834217,4.525931653752168e-05,4.525931653752168e-05,0.9999773703417312,-0.0005481342672747804
2017-10-05,0.0045175241438827,0.0079140550779507,0,0.9999577518022237,4.224819793876153e-05,4.224819793876153e-05,1.0,0.0001639045670104395
2017-10-06,-0.0067153673596967,0.0080791589563906,0,0.9999488580660308,5.1141934317578516e-05,5.1141934317578516e-05,0.9999744290328412,-0.0003572429828856605
2017-10-09,-0.0049628963221985,0.0081554807272991,0,0.9999481459556205,5.1854044272405446e-05,5.1854044272405446e-05,0.9999740729778638,-0.0016241391150603405
2017-10-10,0.0074352976852547,0.008305258793036,0,0.9998788948611216,0.0001211051390175221,0.0001211051390175221,1.0,0.0012660417619671392
2017-10-11,0.0247927810799645,0.00980821844596,0,0.9990853651966954,0.000914634803113124,0.000914634803113124,1.0,0.005013467845441339
2017-10-12,0.0057374720418116,0.0097838945579696,0,0.9998412497654616,0.00015875023477154892,0.00015875023477154892,1.0,0.0052574574250271195
2017-10-13,0.0109828052885581,0.0099853869411579,0,0.9998838082461282,0.00011619175374497075,0.00011619175374497075,1.0,0.008797091954678078
2017-10-16,-0.0031632125770497,0.0100642457924157,0,0.9999102704119361,8.97295879622361e-05,8.97295879622361e-05,1.0,0.00915702870370784
2017-10-17,-0.0104840080624797,0.0104163757937835,0,0.9998124429107906,0.00018755708894273003,0.00018755708894273003,1.0,0.005573167554160959
