Date,KO,PEP
2015-01-02,29.78340721130371,67.88455963134766
2015-01-05,29.78340721130371,67.37421417236328
2015-01-06,30.009563446044922,66.86385345458984
2015-01-07,30.3841609954834,68.81905364990234
2015-01-08,30.751684188842773,70.06977844238281
2015-01-09,30.41242790222168,69.5953598022461
2015-01-12,30.13679313659668,69.30783081054688
2015-01-13,30.129730224609375,69.25746154785156
2015-01-14,30.080257415771484,69.48750305175781
2015-01-15,29.95302963256836,69.48750305175781
2015-01-16,30.05905532836914,69.93317413330078
2015-01-20,30.504308700561523,70.09131622314453
2015-01-21,30.64566993713379,70.01224517822266
2015-01-22,30.9425106048584,71.09046936035156
2015-01-23,30.610322952270508,70.8244857788086
2015-01-26,30.391233444213867,70.93953704833984
2015-01-27,29.960098266601562,69.52348327636719
2015-01-28,29.62792205810547,68.80465698242188
2015-01-29,29.755136489868164,69.02749633789062
2015-01-30,29.097848892211914,67.41014862060547
2015-02-02,29.394685745239258,68.52432250976562
2015-02-03,29.422948837280273,69.14968872070312
2015-02-04,29.458288192749023,69.43720245361328
2015-02-05,29.536029815673828,69.44438934326172
2015-02-06,29.295740127563477,69.51628112792969
2015-02-09,29.14024543762207,68.98432922363281
2015-02-10,29.9671630859375,70.43633270263672
2015-02-11,29.945960998535156,72.1686782836914
2015-02-12,29.804611206054688,72.07523345947266
2015-02-13,29.677387237548828,71.25579071044922
2015-02-17,29.5501708984375,70.70230865478516
2015-02-18,29.493633270263672,71.39954376220703
2015-02-19,29.76220703125,70.96109771728516
2015-02-20,29.663259506225586,71.20547485351562
2015-02-23,29.57843780517578,71.48580169677734
2015-02-24,29.776342391967773,71.57926177978516
2015-02-25,29.719802856445312,71.52175903320312
2015-02-26,30.009563446044922,71.2126693725586
2015-02-27,30.603252410888672,71.14794921875
2015-03-02,30.53258514404297,71.16234588623047
2015-03-03,30.35589027404785,70.7310562133789
2015-03-04,30.037843704223633,70.45247650146484
2015-03-05,29.9671630859375,70.35841369628906
2015-03-06,29.345205307006836,69.59135437011719
2015-03-09,29.253328323364258,69.49729919433594
2015-03-10,28.758577346801758,68.33222198486328
2015-03-11,28.34157371520996,67.75333404541016
2015-03-12,28.911701202392578,69.25847625732422
2015-03-13,28.44135856628418,68.25264739990234
2015-03-16,28.71217155456543,69.07032775878906
2015-03-17,28.86893653869629,68.1151351928711
2015-03-18,28.933074951171875,68.48419952392578
2015-03-19,28.519744873046875,68.09346771240234
2015-03-20,28.968708038330078,68.99073791503906
2015-03-23,28.94732093811035,69.35980224609375
2015-03-24,28.840429306030273,69.36701202392578
2015-03-25,28.82618522644043,68.93285369873047
2015-03-26,28.754926681518555,69.2005844116211
2015-03-27,28.562503814697266,69.4321517944336
2015-03-30,28.86893653869629,69.8446044921875
2015-03-31,28.897449493408203,69.193359375
2015-04-01,28.99008560180664,68.80984497070312
2015-04-02,28.99008560180664,69.24400329589844
2015-04-06,29.339282989501953,69.81568145751953
2015-04-07,29.22525405883789,69.62029266357422
2015-04-08,29.139738082885742,69.49005889892578
2015-04-09,29.253774642944336,69.72156524658203
2015-04-10,29.132610321044922,69.61307525634766
2015-04-13,29.004343032836914,69.12823486328125
2015-04-14,28.86893653869629,69.82292175292969
2015-04-15,28.790555953979492,69.92422485351562
2015-04-16,28.933074951171875,69.79398345947266
2015-04-17,28.719295501708984,69.33084869384766
2015-04-20,28.975841522216797,69.83016204833984
2015-04-21,29.061359405517578,70.03276062011719
2015-04-22,29.439050674438477,70.39458465576172
2015-04-23,29.182512283325195,69.2729721069336
2015-04-24,29.139738082885742,68.86771392822266
2015-04-27,29.096988677978516,68.3756332397461
2015-04-28,29.054229736328125,68.32498931884766
2015-04-29,28.854684829711914,68.29605102539062
2015-04-30,28.90457534790039,68.8315658569336
2015-05-01,29.153995513916016,69.14994812011719
2015-05-04,29.189617156982422,69.4321517944336
2015-05-05,29.039968490600586,69.04862976074219
2015-05-06,28.975841522216797,69.09205627441406
2015-05-07,29.004343032836914,68.8532485961914
2015-05-08,29.203882217407227,69.8663330078125
2015-05-11,29.17538070678711,69.72156524658203
2015-05-12,28.997217178344727,69.61307525634766
2015-05-13,29.253774642944336,69.7650375366211
2015-05-14,29.574464797973633,70.91559600830078
2015-05-15,29.588712692260742,71.07479858398438
2015-05-18,29.446176528930664,70.95177459716797
2015-05-19,29.439050674438477,70.8794174194336
2015-05-20,29.467554092407227,70.69127655029297
2015-05-21,29.382030487060547,70.3366928100586
2015-05-22,29.367788314819336,69.65644836425781
2015-05-26,29.21100425720215,69.31639099121094
2015-05-27,29.303653717041016,69.74332427978516
2015-05-28,29.317895889282227,70.23539733886719
2015-05-29,29.189617156982422,69.7795181274414
2015-06-01,29.17538070678711,69.44660949707031
2015-06-02,29.21100425720215,69.50453186035156
2015-06-03,29.125492095947266,69.47026824951172
2015-06-04,28.925952911376953,68.62464904785156
2015-06-05,28.576759338378906,67.8301010131836
2015-06-08,28.6195125579834,67.67700958251953
2015-06-09,28.648027420043945,67.84465026855469
2015-06-10,28.74067497253418,68.29663848876953
2015-06-11,28.812509536743164,68.58819580078125
2015-06-12,28.711925506591797,68.33306121826172
2015-06-15,28.446075439453125,67.53121185302734
2015-06-16,28.798147201538086,68.194580078125
2015-06-17,28.934661865234375,68.55904388427734
2015-06-18,29.207700729370117,69.4192123413086
2015-06-19,29.02806854248047,69.14952850341797
2015-06-22,29.08555030822754,69.68892669677734
2015-06-23,29.013702392578125,69.68892669677734
2015-06-24,28.877185821533203,69.46297454833984
2015-06-25,28.755029678344727,69.12762451171875
